,agegroup,not infected,immun or dead,dead (other),All,not infected %,scenario
0,0,42512,4741,42,47295,89.8868802198964,base r0=5.0
1,5,37719,6391,4,44114,85.50346828671171,base r0=5.0
2,10,36769,7817,8,44594,82.45279634031483,base r0=5.0
3,15,40099,8117,8,48224,83.15154280026543,base r0=5.0
4,20,102369,15639,45,118053,86.71444181850525,base r0=5.0
5,30,110360,17798,84,128242,86.05605027993948,base r0=5.0
6,40,108532,16872,184,125588,86.41908462591968,base r0=5.0
7,50,142254,19298,749,162301,87.64825848269572,base r0=5.0
8,60,112035,10656,1406,124097,90.28018404957412,base r0=5.0
9,70,140466,8109,8917,157492,89.18929215452214,base r0=5.0
10,All,873115,115438,11447,1000000,87.3115,base r0=5.0
0,0,43451,3810,34,47295,91.87229093984564,base r0=2.5
1,5,39102,5007,5,44114,88.63852745160267,base r0=2.5
2,10,38341,6249,4,44594,85.97793425124456,base r0=2.5
3,15,41793,6421,10,48224,86.66431652289317,base r0=2.5
4,20,105566,12443,44,118053,89.42254749985176,base r0=2.5
5,30,113871,14272,99,128242,88.79384289078462,base r0=2.5
6,40,112114,13267,207,125588,89.27126795553716,base r0=2.5
7,50,146224,15287,790,162301,90.09433090369129,base r0=2.5
8,60,114045,8608,1444,124097,91.89988476756086,base r0=2.5
9,70,142886,5833,8773,157492,90.72587813984202,base r0=2.5
10,All,897393,91197,11410,1000000,89.7393,base r0=2.5
