,agegroup,gender,not infected,infected,dead (other),All,not infected %,scenario,day,immun or dead
0,0,f,23022,13.0,0,23035,99.94356414152377,base r0=1.5 f=0,1,
1,0,m,24247,13.0,0,24260,99.94641384995879,base r0=1.5 f=0,1,
2,5,f,21429,13.0,0,21442,99.93937132730156,base r0=1.5 f=0,1,
3,5,m,22661,11.0,0,22672,99.9514820042343,base r0=1.5 f=0,1,
4,10,f,21641,14.0,0,21655,99.93534980374048,base r0=1.5 f=0,1,
5,10,m,22925,14.0,0,22939,99.93896856881294,base r0=1.5 f=0,1,
6,15,f,23126,9.0,0,23135,99.96109790360926,base r0=1.5 f=0,1,
7,15,m,25075,12.0,0,25087,99.95216646071671,base r0=1.5 f=0,1,
8,20,f,56461,28.0,0,56489,99.95043282763015,base r0=1.5 f=0,1,
9,20,m,61597,24.0,0,61621,99.96105223868487,base r0=1.5 f=0,1,
10,30,f,62711,33.0,0,62744,99.94740532959327,base r0=1.5 f=0,1,
11,30,m,65458,36.0,0,65494,99.94503313280606,base r0=1.5 f=0,1,
12,40,f,62302,30.0,0,62332,99.95187062824873,base r0=1.5 f=0,1,
13,40,m,63232,21.0,0,63253,99.96679999367619,base r0=1.5 f=0,1,
14,50,f,80732,42.0,0,80774,99.9480030702949,base r0=1.5 f=0,1,
15,50,m,81479,39.0,1,81519,99.95093168463794,base r0=1.5 f=0,1,
16,60,f,63980,37.0,1,64018,99.9406416945234,base r0=1.5 f=0,1,
17,60,m,60039,35.0,1,60075,99.94007490636704,base r0=1.5 f=0,1,
18,70,f,90818,45.0,12,90875,99.93727647867951,base r0=1.5 f=0,1,
19,70,m,66532,31.0,18,66581,99.9264054309788,base r0=1.5 f=0,1,
20,All,,999467,500.0,33,1000000,99.94669999999999,base r0=1.5 f=0,1,
0,0,f,23022,13.0,0,23035,99.94356414152377,base r0=1.5 f=0,2,
1,0,m,24247,13.0,0,24260,99.94641384995879,base r0=1.5 f=0,2,
2,5,f,21429,13.0,0,21442,99.93937132730156,base r0=1.5 f=0,2,
3,5,m,22660,12.0,0,22672,99.94707127734651,base r0=1.5 f=0,2,
4,10,f,21640,15.0,0,21655,99.93073193257908,base r0=1.5 f=0,2,
5,10,m,22925,14.0,0,22939,99.93896856881294,base r0=1.5 f=0,2,
6,15,f,23126,9.0,0,23135,99.96109790360926,base r0=1.5 f=0,2,
7,15,m,25074,13.0,0,25087,99.94818033244309,base r0=1.5 f=0,2,
8,20,f,56460,29.0,0,56489,99.94866257147409,base r0=1.5 f=0,2,
9,20,m,61594,26.0,1,61621,99.95618376852048,base r0=1.5 f=0,2,
10,30,f,62710,34.0,0,62744,99.94581155170216,base r0=1.5 f=0,2,
11,30,m,65456,38.0,0,65494,99.94197941796195,base r0=1.5 f=0,2,
12,40,f,62301,31.0,0,62332,99.95026631585702,base r0=1.5 f=0,2,
13,40,m,63230,23.0,0,63253,99.96363808831201,base r0=1.5 f=0,2,
14,50,f,80728,45.0,1,80774,99.94305098175155,base r0=1.5 f=0,2,
15,50,m,81478,40.0,1,81519,99.94970497675388,base r0=1.5 f=0,2,
16,60,f,63979,37.0,2,64018,99.93907963385298,base r0=1.5 f=0,2,
17,60,m,60037,35.0,3,60075,99.93674573449854,base r0=1.5 f=0,2,
18,70,f,90797,45.0,33,90875,99.91416781292985,base r0=1.5 f=0,2,
19,70,m,66523,31.0,27,66581,99.91288806115858,base r0=1.5 f=0,2,
20,All,,999416,516.0,68,1000000,99.9416,base r0=1.5 f=0,2,
0,0,f,23021,14.0,0,23035,99.93922292164098,base r0=1.5 f=0,3,
1,0,m,24246,14.0,0,24260,99.94229183841715,base r0=1.5 f=0,3,
2,5,f,21429,13.0,0,21442,99.93937132730156,base r0=1.5 f=0,3,
3,5,m,22658,14.0,0,22672,99.93824982357093,base r0=1.5 f=0,3,
4,10,f,21638,17.0,0,21655,99.92149619025629,base r0=1.5 f=0,3,
5,10,m,22925,14.0,0,22939,99.93896856881294,base r0=1.5 f=0,3,
6,15,f,23126,9.0,0,23135,99.96109790360926,base r0=1.5 f=0,3,
7,15,m,25073,14.0,0,25087,99.94419420416949,base r0=1.5 f=0,3,
8,20,f,56459,30.0,0,56489,99.94689231531802,base r0=1.5 f=0,3,
9,20,m,61592,28.0,1,61621,99.95293812174421,base r0=1.5 f=0,3,
10,30,f,62707,37.0,0,62744,99.94103021802881,base r0=1.5 f=0,3,
11,30,m,65453,41.0,0,65494,99.9373988456958,base r0=1.5 f=0,3,
12,40,f,62295,37.0,0,62332,99.94064044150677,base r0=1.5 f=0,3,
13,40,m,63226,26.0,1,63253,99.95731427758368,base r0=1.5 f=0,3,
14,50,f,80728,45.0,1,80774,99.94305098175155,base r0=1.5 f=0,3,
15,50,m,81473,44.0,2,81519,99.94357143733362,base r0=1.5 f=0,3,
16,60,f,63977,37.0,4,64018,99.93595551251211,base r0=1.5 f=0,3,
17,60,m,60036,35.0,4,60075,99.9350811485643,base r0=1.5 f=0,3,
18,70,f,90778,45.0,52,90875,99.89325997248967,base r0=1.5 f=0,3,
19,70,m,66513,31.0,37,66581,99.89786876135834,base r0=1.5 f=0,3,
20,All,,999353,545.0,102,1000000,99.9353,base r0=1.5 f=0,3,
0,0,f,23019,16.0,0,23035,99.93054048187541,base r0=1.5 f=0,4,
1,0,m,24245,15.0,0,24260,99.93816982687551,base r0=1.5 f=0,4,
2,5,f,21427,15.0,0,21442,99.9300438391941,base r0=1.5 f=0,4,
3,5,m,22656,16.0,0,22672,99.92942836979535,base r0=1.5 f=0,4,
4,10,f,21634,21.0,0,21655,99.9030247056107,base r0=1.5 f=0,4,
5,10,m,22922,17.0,0,22939,99.92589040498714,base r0=1.5 f=0,4,
6,15,f,23121,13.0,1,23135,99.9394856278366,base r0=1.5 f=0,4,
7,15,m,25071,16.0,0,25087,99.93622194762227,base r0=1.5 f=0,4,
8,20,f,56455,34.0,0,56489,99.93981129069375,base r0=1.5 f=0,4,
9,20,m,61584,35.0,2,61621,99.93995553463917,base r0=1.5 f=0,4,
10,30,f,62701,43.0,0,62744,99.93146755068214,base r0=1.5 f=0,4,
11,30,m,65448,46.0,0,65494,99.92976455858552,base r0=1.5 f=0,4,
12,40,f,62290,42.0,0,62332,99.93261887954823,base r0=1.5 f=0,4,
13,40,m,63221,31.0,1,63253,99.94940951417324,base r0=1.5 f=0,4,
14,50,f,80720,53.0,1,80774,99.93314680466486,base r0=1.5 f=0,4,
15,50,m,81467,48.0,4,81519,99.93621119002933,base r0=1.5 f=0,4,
16,60,f,63973,40.0,5,64018,99.92970726983036,base r0=1.5 f=0,4,
17,60,m,60035,35.0,5,60075,99.93341656263006,base r0=1.5 f=0,4,
18,70,f,90755,45.0,75,90875,99.86795048143054,base r0=1.5 f=0,4,
19,70,m,66499,31.0,51,66581,99.876841741638,base r0=1.5 f=0,4,
20,All,,999243,612.0,145,1000000,99.9243,base r0=1.5 f=0,4,
0,0,f,23018,17.0,0,23035,99.92619926199262,base r0=1.5 f=0,5,
1,0,m,24244,16.0,0,24260,99.93404781533388,base r0=1.5 f=0,5,
2,5,f,21426,16.0,0,21442,99.92538009514038,base r0=1.5 f=0,5,
3,5,m,22653,19.0,0,22672,99.91619618913197,base r0=1.5 f=0,5,
4,10,f,21632,23.0,0,21655,99.89378896328792,base r0=1.5 f=0,5,
5,10,m,22922,17.0,0,22939,99.92589040498714,base r0=1.5 f=0,5,
6,15,f,23119,15.0,1,23135,99.93084071752756,base r0=1.5 f=0,5,
7,15,m,25068,19.0,0,25087,99.92426356280146,base r0=1.5 f=0,5,
8,20,f,56454,35.0,0,56489,99.93804103453769,base r0=1.5 f=0,5,
9,20,m,61575,44.0,2,61621,99.92535012414598,base r0=1.5 f=0,5,
10,30,f,62694,50.0,0,62744,99.92031110544434,base r0=1.5 f=0,5,
11,30,m,65444,50.0,0,65494,99.9236571288973,base r0=1.5 f=0,5,
12,40,f,62283,49.0,0,62332,99.92138869280626,base r0=1.5 f=0,5,
13,40,m,63217,33.0,3,63253,99.9430857034449,base r0=1.5 f=0,5,
14,50,f,80711,62.0,1,80774,99.92200460544235,base r0=1.5 f=0,5,
15,50,m,81459,54.0,6,81519,99.9263975269569,base r0=1.5 f=0,5,
16,60,f,63967,44.0,7,64018,99.92033490580774,base r0=1.5 f=0,5,
17,60,m,60032,36.0,7,60075,99.9284228048273,base r0=1.5 f=0,5,
18,70,f,90729,46.0,100,90875,99.83933975240716,base r0=1.5 f=0,5,
19,70,m,66484,31.0,66,66581,99.85431279193764,base r0=1.5 f=0,5,
20,All,,999131,676.0,193,1000000,99.9131,base r0=1.5 f=0,5,
0,0,f,23017,18.0,0,23035,99.92185804210983,base r0=1.5 f=0,6,
1,0,m,24243,17.0,0,24260,99.92992580379226,base r0=1.5 f=0,6,
2,5,f,21424,18.0,0,21442,99.91605260703292,base r0=1.5 f=0,6,
3,5,m,22651,21.0,0,22672,99.90737473535638,base r0=1.5 f=0,6,
4,10,f,21630,25.0,0,21655,99.88455322096513,base r0=1.5 f=0,6,
5,10,m,22916,23.0,0,22939,99.89973407733555,base r0=1.5 f=0,6,
6,15,f,23115,19.0,1,23135,99.91355089690944,base r0=1.5 f=0,6,
7,15,m,25060,27.0,0,25087,99.89237453661259,base r0=1.5 f=0,6,
8,20,f,56449,40.0,0,56489,99.92918975375737,base r0=1.5 f=0,6,
9,20,m,61566,53.0,2,61621,99.9107447136528,base r0=1.5 f=0,6,
10,30,f,62688,56.0,0,62744,99.91074843809767,base r0=1.5 f=0,6,
11,30,m,65438,56.0,0,65494,99.91449598436498,base r0=1.5 f=0,6,
12,40,f,62272,60.0,0,62332,99.90374125649747,base r0=1.5 f=0,6,
13,40,m,63208,42.0,3,63253,99.92885712930611,base r0=1.5 f=0,6,
14,50,f,80702,71.0,1,80774,99.91086240621982,base r0=1.5 f=0,6,
15,50,m,81450,60.0,9,81519,99.91535715600044,base r0=1.5 f=0,6,
16,60,f,63960,48.0,10,64018,99.90940048111469,base r0=1.5 f=0,6,
17,60,m,60030,38.0,7,60075,99.9250936329588,base r0=1.5 f=0,6,
18,70,f,90714,46.0,115,90875,99.82283356258597,base r0=1.5 f=0,6,
19,70,m,66467,31.0,83,66581,99.82877998227723,base r0=1.5 f=0,6,
20,All,,999000,769.0,231,1000000,99.9,base r0=1.5 f=0,6,
0,0,f,23014,21.0,0,23035,99.90883438246148,base r0=1.5 f=0,7,
1,0,m,24241,19.0,0,24260,99.92168178070898,base r0=1.5 f=0,7,
2,5,f,21422,20.0,0,21442,99.90672511892548,base r0=1.5 f=0,7,
3,5,m,22649,23.0,0,22672,99.8985532815808,base r0=1.5 f=0,7,
4,10,f,21630,25.0,0,21655,99.88455322096513,base r0=1.5 f=0,7,
5,10,m,22909,30.0,0,22939,99.86921836174201,base r0=1.5 f=0,7,
6,15,f,23113,21.0,1,23135,99.90490598660038,base r0=1.5 f=0,7,
7,15,m,25058,29.0,0,25087,99.88440228006537,base r0=1.5 f=0,7,
8,20,f,56442,47.0,0,56489,99.91679796066491,base r0=1.5 f=0,7,
9,20,m,61559,60.0,2,61621,99.8993849499359,base r0=1.5 f=0,7,
10,30,f,62680,64.0,0,62744,99.89799821496877,base r0=1.5 f=0,7,
11,30,m,65426,68.0,0,65494,99.89617369530033,base r0=1.5 f=0,7,
12,40,f,62266,66.0,0,62332,99.8941153821472,base r0=1.5 f=0,7,
13,40,m,63199,51.0,3,63253,99.91462855516734,base r0=1.5 f=0,7,
14,50,f,80695,78.0,1,80774,99.90219625126898,base r0=1.5 f=0,7,
15,50,m,81443,66.0,10,81519,99.90677020081208,base r0=1.5 f=0,7,
16,60,f,63956,52.0,10,64018,99.90315223843295,base r0=1.5 f=0,7,
17,60,m,60021,43.0,11,60075,99.91011235955057,base r0=1.5 f=0,7,
18,70,f,90692,47.0,136,90875,99.79862448418156,base r0=1.5 f=0,7,
19,70,m,66454,31.0,96,66581,99.80925489253691,base r0=1.5 f=0,7,
20,All,,998869,861.0,270,1000000,99.8869,base r0=1.5 f=0,7,
0,0,f,23011,24.0,0,23035,99.89581072281311,base r0=1.5 f=0,8,
1,0,m,24238,22.0,0,24260,99.90931574608409,base r0=1.5 f=0,8,
2,5,f,21418,24.0,0,21442,99.88807014271057,base r0=1.5 f=0,8,
3,5,m,22645,27.0,0,22672,99.88091037402964,base r0=1.5 f=0,8,
4,10,f,21629,26.0,0,21655,99.87993534980374,base r0=1.5 f=0,8,
5,10,m,22908,31.0,0,22939,99.86485897380007,base r0=1.5 f=0,8,
6,15,f,23112,22.0,1,23135,99.90058353144586,base r0=1.5 f=0,8,
7,15,m,25056,31.0,0,25087,99.87643002351815,base r0=1.5 f=0,8,
8,20,f,56433,56.0,0,56489,99.90086565526032,base r0=1.5 f=0,8,
9,20,m,61550,69.0,2,61621,99.88477953944272,base r0=1.5 f=0,8,
10,30,f,62675,69.0,0,62744,99.8900293255132,base r0=1.5 f=0,8,
11,30,m,65414,79.0,1,65494,99.87785140623569,base r0=1.5 f=0,8,
12,40,f,62260,71.0,1,62332,99.88448950779696,base r0=1.5 f=0,8,
13,40,m,63191,58.0,4,63253,99.90198093371066,base r0=1.5 f=0,8,
14,50,f,80689,84.0,1,80774,99.89476811845395,base r0=1.5 f=0,8,
15,50,m,81435,72.0,12,81519,99.89695653773967,base r0=1.5 f=0,8,
16,60,f,63952,56.0,10,64018,99.8969039957512,base r0=1.5 f=0,8,
17,60,m,60016,46.0,13,60075,99.90178942987932,base r0=1.5 f=0,8,
18,70,f,90676,47.0,152,90875,99.78101788170564,base r0=1.5 f=0,8,
19,70,m,66445,31.0,105,66581,99.79573752271669,base r0=1.5 f=0,8,
20,All,,998753,945.0,302,1000000,99.8753,base r0=1.5 f=0,8,
0,0,f,23008,27.0,0,23035,99.88278706316474,base r0=1.5 f=0,9,
1,0,m,24236,24.0,0,24260,99.90107172300083,base r0=1.5 f=0,9,
2,5,f,21416,26.0,0,21442,99.87874265460312,base r0=1.5 f=0,9,
3,5,m,22643,29.0,0,22672,99.87208892025406,base r0=1.5 f=0,9,
4,10,f,21624,31.0,0,21655,99.85684599399677,base r0=1.5 f=0,9,
5,10,m,22905,34.0,0,22939,99.85178080997427,base r0=1.5 f=0,9,
6,15,f,23110,24.0,1,23135,99.89193862113682,base r0=1.5 f=0,9,
7,15,m,25053,34.0,0,25087,99.86447163869734,base r0=1.5 f=0,9,
8,20,f,56424,65.0,0,56489,99.88493334985571,base r0=1.5 f=0,9,
9,20,m,61544,75.0,2,61621,99.87504259911394,base r0=1.5 f=0,9,
10,30,f,62672,72.0,0,62744,99.88524799183985,base r0=1.5 f=0,9,
11,30,m,65407,86.0,1,65494,99.86716340428131,base r0=1.5 f=0,9,
12,40,f,62254,77.0,1,62332,99.87486363344671,base r0=1.5 f=0,9,
13,40,m,63182,67.0,4,63253,99.88775235957188,base r0=1.5 f=0,9,
14,50,f,80683,89.0,2,80774,99.88733998563895,base r0=1.5 f=0,9,
15,50,m,81428,79.0,12,81519,99.8883695825513,base r0=1.5 f=0,9,
16,60,f,63947,60.0,11,64018,99.88909369239902,base r0=1.5 f=0,9,
17,60,m,60007,47.0,21,60075,99.88680815647108,base r0=1.5 f=0,9,
18,70,f,90668,47.0,160,90875,99.77221458046768,base r0=1.5 f=0,9,
19,70,m,66433,31.0,117,66581,99.7777143629564,base r0=1.5 f=0,9,
20,All,,998644,1024.0,332,1000000,99.8644,base r0=1.5 f=0,9,
0,0,f,23007,28.0,0,23035,99.87844584328197,base r0=1.5 f=0,10,
1,0,m,24233,27.0,0,24260,99.88870568837592,base r0=1.5 f=0,10,
2,5,f,21415,27.0,0,21442,99.87407891054939,base r0=1.5 f=0,10,
3,5,m,22639,33.0,0,22672,99.8544460127029,base r0=1.5 f=0,10,
4,10,f,21620,35.0,0,21655,99.8383745093512,base r0=1.5 f=0,10,
5,10,m,22896,43.0,0,22939,99.81254631849689,base r0=1.5 f=0,10,
6,15,f,23106,28.0,1,23135,99.8746488005187,base r0=1.5 f=0,10,
7,15,m,25050,37.0,0,25087,99.85251325387651,base r0=1.5 f=0,10,
8,20,f,56419,70.0,0,56489,99.8760820690754,base r0=1.5 f=0,10,
9,20,m,61533,86.0,2,61621,99.8571915418445,base r0=1.5 f=0,10,
10,30,f,62667,77.0,0,62744,99.87727910238429,base r0=1.5 f=0,10,
11,30,m,65399,94.0,1,65494,99.85494854490487,base r0=1.5 f=0,10,
12,40,f,62247,83.0,2,62332,99.86363344670475,base r0=1.5 f=0,10,
13,40,m,63179,70.0,4,63253,99.88300950152562,base r0=1.5 f=0,10,
14,50,f,80674,98.0,2,80774,99.87619778641643,base r0=1.5 f=0,10,
15,50,m,81419,88.0,12,81519,99.87732921159484,base r0=1.5 f=0,10,
16,60,f,63937,68.0,13,64018,99.87347308569466,base r0=1.5 f=0,10,
17,60,m,60003,51.0,21,60075,99.88014981273409,base r0=1.5 f=0,10,
18,70,f,90645,48.0,182,90875,99.74690508940853,base r0=1.5 f=0,10,
19,70,m,66420,31.0,130,66581,99.75818927321608,base r0=1.5 f=0,10,
20,All,,998508,1122.0,370,1000000,99.85079999999999,base r0=1.5 f=0,10,
0,0,f,23005,30.0,0,23035,99.86976340351639,base r0=1.5 f=0,11,
1,0,m,24231,29.0,0,24260,99.88046166529266,base r0=1.5 f=0,11,
2,5,f,21413,29.0,0,21442,99.86475142244193,base r0=1.5 f=0,11,
3,5,m,22638,34.0,0,22672,99.8500352858151,base r0=1.5 f=0,11,
4,10,f,21614,41.0,0,21655,99.81066728238282,base r0=1.5 f=0,11,
5,10,m,22893,46.0,0,22939,99.79946815467109,base r0=1.5 f=0,11,
6,15,f,23101,33.0,1,23135,99.85303652474606,base r0=1.5 f=0,11,
7,15,m,25045,42.0,0,25087,99.83258261250847,base r0=1.5 f=0,11,
8,20,f,56410,79.0,0,56489,99.8601497636708,base r0=1.5 f=0,11,
9,20,m,61523,96.0,2,61621,99.8409633079632,base r0=1.5 f=0,11,
10,30,f,62663,81.0,0,62744,99.87090399081984,base r0=1.5 f=0,11,
11,30,m,65394,99.0,1,65494,99.84731425779461,base r0=1.5 f=0,11,
12,40,f,62237,93.0,2,62332,99.84759032278765,base r0=1.5 f=0,11,
13,40,m,63167,82.0,4,63253,99.8640380693406,base r0=1.5 f=0,11,
14,50,f,80668,104.0,2,80774,99.8687696536014,base r0=1.5 f=0,11,
15,50,m,81409,97.0,13,81519,99.86506213275432,base r0=1.5 f=0,11,
16,60,f,63933,70.0,15,64018,99.8672248430129,base r0=1.5 f=0,11,
17,60,m,60000,53.0,22,60075,99.87515605493134,base r0=1.5 f=0,11,
18,70,f,90627,48.0,200,90875,99.7270976616231,base r0=1.5 f=0,11,
19,70,m,66400,31.0,150,66581,99.7281506736156,base r0=1.5 f=0,11,
20,All,,998371,1217.0,412,1000000,99.8371,base r0=1.5 f=0,11,
0,0,f,23003,32.0,0,23035,99.86108096375081,base r0=1.5 f=0,12,
1,0,m,24231,29.0,0,24260,99.88046166529266,base r0=1.5 f=0,12,
2,5,f,21410,32.0,0,21442,99.85076019028077,base r0=1.5 f=0,12,
3,5,m,22633,39.0,0,22672,99.82798165137615,base r0=1.5 f=0,12,
4,10,f,21611,44.0,0,21655,99.79681366889864,base r0=1.5 f=0,12,
5,10,m,22891,48.0,0,22939,99.79074937878721,base r0=1.5 f=0,12,
6,15,f,23098,36.0,1,23135,99.84006915928248,base r0=1.5 f=0,12,
7,15,m,25042,45.0,0,25087,99.82062422768765,base r0=1.5 f=0,12,
8,20,f,56406,83.0,0,56489,99.85306873904653,base r0=1.5 f=0,12,
9,20,m,61519,100.0,2,61621,99.83447201441066,base r0=1.5 f=0,12,
10,30,f,62657,87.0,0,62744,99.86134132347317,base r0=1.5 f=0,12,
11,30,m,65391,102.0,1,65494,99.84273368552846,base r0=1.5 f=0,12,
12,40,f,62230,99.0,3,62332,99.83636013604568,base r0=1.5 f=0,12,
13,40,m,63160,89.0,4,63253,99.85297140056598,base r0=1.5 f=0,12,
14,50,f,80654,118.0,2,80774,99.8514373436997,base r0=1.5 f=0,12,
15,50,m,81404,101.0,14,81519,99.85892859333407,base r0=1.5 f=0,12,
16,60,f,63930,72.0,16,64018,99.8625386610016,base r0=1.5 f=0,12,
17,60,m,59993,58.0,24,60075,99.8635039533916,base r0=1.5 f=0,12,
18,70,f,90608,48.0,219,90875,99.70618982118295,base r0=1.5 f=0,12,
19,70,m,66380,31.0,170,66581,99.69811207401511,base r0=1.5 f=0,12,
20,All,,998251,1293.0,456,1000000,99.8251,base r0=1.5 f=0,12,
0,0,f,23002,33.0,0,23035,99.85673974386803,base r0=1.5 f=0,13,
1,0,m,24227,33.0,0,24260,99.86397361912613,base r0=1.5 f=0,13,
2,5,f,21407,35.0,0,21442,99.83676895811958,base r0=1.5 f=0,13,
3,5,m,22631,41.0,0,22672,99.81916019760057,base r0=1.5 f=0,13,
4,10,f,21607,48.0,0,21655,99.77834218425305,base r0=1.5 f=0,13,
5,10,m,22889,50.0,0,22939,99.78203060290335,base r0=1.5 f=0,13,
6,15,f,23098,36.0,1,23135,99.84006915928248,base r0=1.5 f=0,13,
7,15,m,25037,50.0,0,25087,99.80069358631961,base r0=1.5 f=0,13,
8,20,f,56400,89.0,0,56489,99.84244720211014,base r0=1.5 f=0,13,
9,20,m,61510,109.0,2,61621,99.81986660391749,base r0=1.5 f=0,13,
10,30,f,62652,92.0,0,62744,99.8533724340176,base r0=1.5 f=0,13,
11,30,m,65382,111.0,1,65494,99.82899196872997,base r0=1.5 f=0,13,
12,40,f,62217,111.0,4,62332,99.81550407495348,base r0=1.5 f=0,13,
13,40,m,63146,103.0,4,63253,99.83083806301677,base r0=1.5 f=0,13,
14,50,f,80644,127.0,3,80774,99.83905712234134,base r0=1.5 f=0,13,
15,50,m,81397,108.0,14,81519,99.85034163814571,base r0=1.5 f=0,13,
16,60,f,63924,76.0,18,64018,99.85316629697898,base r0=1.5 f=0,13,
17,60,m,59990,59.0,26,60075,99.85851019558885,base r0=1.5 f=0,13,
18,70,f,90589,48.0,238,90875,99.68528198074279,base r0=1.5 f=0,13,
19,70,m,66366,31.0,184,66581,99.67708505429476,base r0=1.5 f=0,13,
20,All,,998115,1390.0,495,1000000,99.8115,base r0=1.5 f=0,13,
0,0,f,23000,35.0,0,23035,99.84805730410245,base r0=1.5 f=0,14,
1,0,m,24226,34.0,0,24260,99.8598516075845,base r0=1.5 f=0,14,
2,5,f,21404,38.0,0,21442,99.8227777259584,base r0=1.5 f=0,14,
3,5,m,22626,46.0,0,22672,99.7971065631616,base r0=1.5 f=0,14,
4,10,f,21605,50.0,0,21655,99.76910644193026,base r0=1.5 f=0,14,
5,10,m,22888,51.0,0,22939,99.77767121496142,base r0=1.5 f=0,14,
6,15,f,23095,39.0,1,23135,99.82710179381888,base r0=1.5 f=0,14,
7,15,m,25033,54.0,0,25087,99.78474907322517,base r0=1.5 f=0,14,
8,20,f,56393,96.0,0,56489,99.83005540901769,base r0=1.5 f=0,14,
9,20,m,61498,121.0,2,61621,99.80039272325992,base r0=1.5 f=0,14,
10,30,f,62644,100.0,0,62744,99.84062221088868,base r0=1.5 f=0,14,
11,30,m,65368,125.0,1,65494,99.80761596482121,base r0=1.5 f=0,14,
12,40,f,62206,121.0,5,62332,99.79785663864467,base r0=1.5 f=0,14,
13,40,m,63136,113.0,4,63253,99.81502853619591,base r0=1.5 f=0,14,
14,50,f,80631,139.0,4,80774,99.82296283457548,base r0=1.5 f=0,14,
15,50,m,81386,118.0,15,81519,99.83684785142114,base r0=1.5 f=0,14,
16,60,f,63917,80.0,21,64018,99.84223187228592,base r0=1.5 f=0,14,
17,60,m,59989,60.0,26,60075,99.8568456096546,base r0=1.5 f=0,14,
18,70,f,90574,49.0,252,90875,99.66877579092159,base r0=1.5 f=0,14,
19,70,m,66343,31.0,207,66581,99.64254066475421,base r0=1.5 f=0,14,
20,All,,997962,1500.0,538,1000000,99.7962,base r0=1.5 f=0,14,
0,0,f,22998,37.0,0,23035,99.83937486433689,base r0=1.5 f=0,15,
1,0,m,24223,37.0,0,24260,99.8474855729596,base r0=1.5 f=0,15,
2,5,f,21397,45.0,0,21442,99.79013151758231,base r0=1.5 f=0,15,
3,5,m,22621,51.0,0,22672,99.77505292872266,base r0=1.5 f=0,15,
4,10,f,21601,54.0,0,21655,99.75063495728469,base r0=1.5 f=0,15,
5,10,m,22886,53.0,0,22939,99.76895243907755,base r0=1.5 f=0,15,
6,15,f,23091,43.0,1,23135,99.80981197320078,base r0=1.5 f=0,15,
7,15,m,25032,55.0,0,25087,99.78076294495158,base r0=1.5 f=0,15,
8,20,f,56383,106.0,0,56489,99.81235284745703,base r0=1.5 f=0,15,
9,20,m,61491,128.0,2,61621,99.78903295954301,base r0=1.5 f=0,15,
10,30,f,62638,106.0,0,62744,99.83105954354201,base r0=1.5 f=0,15,
11,30,m,65356,137.0,1,65494,99.78929367575657,base r0=1.5 f=0,15,
12,40,f,62196,130.0,6,62332,99.78181351472759,base r0=1.5 f=0,15,
13,40,m,63124,125.0,4,63253,99.79605710401088,base r0=1.5 f=0,15,
14,50,f,80620,149.0,5,80774,99.80934459108128,base r0=1.5 f=0,15,
15,50,m,81373,130.0,16,81519,99.82090064892847,base r0=1.5 f=0,15,
16,60,f,63913,83.0,22,64018,99.83598362960417,base r0=1.5 f=0,15,
17,60,m,59985,62.0,28,60075,99.8501872659176,base r0=1.5 f=0,15,
18,70,f,90551,49.0,275,90875,99.64346629986245,base r0=1.5 f=0,15,
19,70,m,66322,32.0,227,66581,99.6110001351737,base r0=1.5 f=0,15,
20,All,,997801,1612.0,587,1000000,99.7801,base r0=1.5 f=0,15,
0,0,f,22996,39.0,0,23035,99.8306924245713,base r0=1.5 f=0,16,
1,0,m,24223,37.0,0,24260,99.8474855729596,base r0=1.5 f=0,16,
2,5,f,21392,50.0,0,21442,99.76681279731369,base r0=1.5 f=0,16,
3,5,m,22615,57.0,0,22672,99.7485885673959,base r0=1.5 f=0,16,
4,10,f,21597,58.0,0,21655,99.73216347263912,base r0=1.5 f=0,16,
5,10,m,22884,55.0,0,22939,99.76023366319369,base r0=1.5 f=0,16,
6,15,f,23087,47.0,1,23135,99.79252215258266,base r0=1.5 f=0,16,
7,15,m,25029,58.0,0,25087,99.76880456013075,base r0=1.5 f=0,16,
8,20,f,56374,114.0,1,56489,99.79642054205243,base r0=1.5 f=0,16,
9,20,m,61486,133.0,2,61621,99.78091884260236,base r0=1.5 f=0,16,
10,30,f,62625,119.0,0,62744,99.81034043095754,base r0=1.5 f=0,16,
11,30,m,65348,145.0,1,65494,99.77707881638013,base r0=1.5 f=0,16,
12,40,f,62185,141.0,6,62332,99.7641660784188,base r0=1.5 f=0,16,
13,40,m,63111,138.0,4,63253,99.77550471914375,base r0=1.5 f=0,16,
14,50,f,80610,158.0,6,80774,99.79696436972293,base r0=1.5 f=0,16,
15,50,m,81363,139.0,17,81519,99.80863357008796,base r0=1.5 f=0,16,
16,60,f,63909,86.0,23,64018,99.82973538692242,base r0=1.5 f=0,16,
17,60,m,59981,65.0,29,60075,99.8435289221806,base r0=1.5 f=0,16,
18,70,f,90533,49.0,293,90875,99.62365887207703,base r0=1.5 f=0,16,
19,70,m,66304,32.0,245,66581,99.58396539553326,base r0=1.5 f=0,16,
20,All,,997652,1720.0,628,1000000,99.7652,base r0=1.5 f=0,16,
0,0,f,22994,41.0,0,23035,99.82200998480573,base r0=1.5 f=0,17,
1,0,m,24221,39.0,0,24260,99.83924154987633,base r0=1.5 f=0,17,
2,5,f,21388,54.0,0,21442,99.74815782109879,base r0=1.5 f=0,17,
3,5,m,22613,59.0,0,22672,99.73976711362033,base r0=1.5 f=0,17,
4,10,f,21593,62.0,0,21655,99.71369198799354,base r0=1.5 f=0,17,
