gender,age_from,age_to,family,cnt,age,nrep,deathrate,portion,family_factor,agegroup,contacts_mean
f,11,11,geschieden_lp,0.0,11,1,7.733e-05,0.0,0,10,18.22
f,11,11,ledig,359949.0,11,1,7.733e-05,0.004335731296320528,0,10,18.22
f,11,11,verheiratet,0.0,11,1,7.733e-05,0.0,1,10,18.22
f,11,11,verheiratet_lp,0.0,11,1,7.733e-05,0.0,0,10,18.22
f,11,11,verwitwet,0.0,11,1,7.733e-05,0.0,0,10,18.22
f,11,11,verwitwet_lp,0.0,11,1,7.733e-05,0.0,0,10,18.22
f,12,12,geschieden,0.0,12,1,7.852e-05,0.0,0,10,18.22
f,12,12,geschieden_lp,0.0,12,1,7.852e-05,0.0,0,10,18.22
f,12,12,ledig,352344.0,12,1,7.852e-05,0.004244125995268107,0,10,18.22
f,12,12,verheiratet,0.0,12,1,7.852e-05,0.0,1,10,18.22
f,12,12,verheiratet_lp,0.0,12,1,7.852e-05,0.0,0,10,18.22
f,12,12,verwitwet,0.0,12,1,7.852e-05,0.0,0,10,18.22
f,12,12,verwitwet_lp,0.0,12,1,7.852e-05,0.0,0,10,18.22
f,13,13,geschieden,0.0,13,1,9.421e-05,0.0,0,10,18.22
f,13,13,geschieden_lp,1.0,13,1,9.421e-05,1.2045404477635797e-08,0,10,18.22
f,13,13,ledig,357391.0,13,1,9.421e-05,0.0043049191516667355,0,10,18.22
f,13,13,verheiratet,0.0,13,1,9.421e-05,0.0,1,10,18.22
f,13,13,verheiratet_lp,0.0,13,1,9.421e-05,0.0,0,10,18.22
f,13,13,verwitwet,0.0,13,1,9.421e-05,0.0,0,10,18.22
f,13,13,verwitwet_lp,0.0,13,1,9.421e-05,0.0,0,10,18.22
f,14,14,geschieden,0.0,14,1,9.221e-05,0.0,0,10,18.22
f,14,14,geschieden_lp,0.0,14,1,9.221e-05,0.0,0,10,18.22
f,14,14,ledig,365060.0,14,1,9.221e-05,0.004397295358605724,0,10,18.22
f,14,14,verheiratet,0.0,14,1,9.221e-05,0.0,1,10,18.22
f,14,14,verheiratet_lp,0.0,14,1,9.221e-05,0.0,0,10,18.22
f,14,14,verwitwet,1.0,14,1,9.221e-05,1.2045404477635797e-08,0,10,18.22
f,14,14,verwitwet_lp,0.0,14,1,9.221e-05,0.0,0,10,18.22
f,15,15,geschieden,1.0,15,1,0.00012167,1.2045404477635797e-08,0,15,17.58
f,15,15,geschieden_lp,1.0,15,1,0.00012167,1.2045404477635797e-08,0,15,17.58
f,15,15,ledig,364908.0,15,1,0.00012167,0.004395464457125123,0,15,17.58
f,15,15,verheiratet,3.0,15,1,0.00012167,3.6136213432907394e-08,1,15,17.58
f,15,15,verheiratet_lp,0.0,15,1,0.00012167,0.0,0,15,17.58
f,15,15,verwitwet,0.0,15,1,0.00012167,0.0,0,15,17.58
f,15,15,verwitwet_lp,0.0,15,1,0.00012167,0.0,0,15,17.58
f,16,16,geschieden,1.0,16,1,0.00014725,1.2045404477635797e-08,0,15,17.58
f,16,16,geschieden_lp,1.0,16,1,0.00014725,1.2045404477635797e-08,0,15,17.58
f,16,16,ledig,370561.0,16,1,0.00014725,0.004463557128637199,0,15,17.58
f,16,16,verheiratet,20.0,16,1,0.00014725,2.4090808955271595e-07,1,15,17.58
f,16,16,verheiratet_lp,0.0,16,1,0.00014725,0.0,0,15,17.58
f,16,16,verwitwet,0.0,16,1,0.00014725,0.0,0,15,17.58
f,16,16,verwitwet_lp,0.0,16,1,0.00014725,0.0,0,15,17.58
f,17,17,geschieden,6.0,17,1,0.00013616,7.227242686581479e-08,0,15,17.58
f,17,17,geschieden_lp,1.0,17,1,0.00013616,1.2045404477635797e-08,0,15,17.58
f,17,17,ledig,378748.0,17,1,0.00013616,0.004562172855095603,0,15,17.58
f,17,17,verheiratet,120.0,17,1,0.00013616,1.4454485373162956e-06,1,15,17.58
f,17,17,verheiratet_lp,1.0,17,1,0.00013616,1.2045404477635797e-08,0,15,17.58
f,17,17,verwitwet,0.0,17,1,0.00013616,0.0,0,15,17.58
f,17,17,verwitwet_lp,0.0,17,1,0.00013616,0.0,0,15,17.58
f,18,18,geschieden,12.0,18,1,0.00019702,1.4454485373162958e-07,0,15,17.58
f,18,18,geschieden_lp,1.0,18,1,0.00019702,1.2045404477635797e-08,0,15,17.58
f,18,18,ledig,398606.0,18,1,0.00019702,0.004801370497212494,0,15,17.58
f,18,18,verheiratet,1214.0,18,1,0.00019702,1.4623121035849858e-05,1,15,17.58
f,18,18,verheiratet_lp,0.0,18,1,0.00019702,0.0,0,15,17.58
f,18,18,verwitwet,1.0,18,1,0.00019702,1.2045404477635797e-08,0,15,17.58
f,18,18,verwitwet_lp,0.0,18,1,0.00019702,0.0,0,15,17.58
f,19,19,geschieden,30.0,19,1,0.00017479,3.613621343290739e-07,0,15,17.58
f,19,19,geschieden_lp,0.0,19,1,0.00017479,0.0,0,15,17.58
f,19,19,ledig,402731.0,19,1,0.00017479,0.004851057790682742,0,15,17.58
f,19,19,verheiratet,3801.0,19,1,0.00017479,4.578458241949366e-05,1,15,17.58
f,19,19,verheiratet_lp,4.0,19,1,0.00017479,4.818161791054319e-08,0,15,17.58
f,19,19,verwitwet,6.0,19,1,0.00017479,7.227242686581479e-08,0,15,17.58
f,19,19,verwitwet_lp,0.0,19,1,0.00017479,0.0,0,15,17.58
f,20,20,geschieden,122.0,20,1,0.00018488,1.4695393462715673e-06,0,20,13.57
f,20,20,geschieden_lp,4.0,20,1,0.00018488,4.818161791054319e-08,0,20,13.57
f,20,20,ledig,415856.0,20,1,0.00018488,0.005009153724451712,0,20,13.57
f,20,20,verheiratet,7685.0,20,1,0.00018488,9.256893341063111e-05,1,20,13.57
f,20,20,verheiratet_lp,11.0,20,1,0.00018488,1.3249944925399378e-07,0,20,13.57
f,20,20,verwitwet,14.0,20,1,0.00018488,1.6863566268690115e-07,0,20,13.57
f,20,20,verwitwet_lp,0.0,20,1,0.00018488,0.0,0,20,13.57
f,21,21,geschieden,321.0,21,1,0.0001649,3.866574837321091e-06,0,20,13.57
f,21,21,geschieden_lp,6.0,21,1,0.0001649,7.227242686581479e-08,0,20,13.57
f,21,21,ledig,429013.0,21,1,0.0001649,0.005167635111163966,0,20,13.57
f,21,21,verheiratet,14071.0,21,1,0.0001649,0.0001694908864048133,1,20,13.57
f,21,21,verheiratet_lp,25.0,21,1,0.0001649,3.0113511194089495e-07,0,20,13.57
f,21,21,verwitwet,20.0,21,1,0.0001649,2.4090808955271595e-07,0,20,13.57
f,21,21,verwitwet_lp,5.0,21,1,0.0001649,6.022702238817899e-08,0,20,13.57
f,22,22,geschieden,628.0,22,1,0.00016281,7.564514011955281e-06,0,20,13.57
f,22,22,geschieden_lp,10.0,22,1,0.00016281,1.2045404477635798e-07,0,20,13.57
f,22,22,ledig,419890.0,22,1,0.00016281,0.005057744886114495,0,20,13.57
f,22,22,verheiratet,21862.0,22,1,0.00016281,0.0002633366326900738,1,20,13.57
f,22,22,verheiratet_lp,50.0,22,1,0.00016281,6.022702238817899e-07,0,20,13.57
f,22,22,verwitwet,36.0,22,1,0.00016281,4.336345611948887e-07,0,20,13.57
f,22,22,verwitwet_lp,1.0,22,1,0.00016281,1.2045404477635797e-08,0,20,13.57
f,23,23,geschieden,1146.0,23,1,0.00017996,1.3804033531370624e-05,0,20,13.57
