gender,age_from,age_to,family,cnt,age,nrep,agegroup,deathrate,contacts_mean,family_factor,portion
f,14,14,geschieden,0.0,14,1,10,0.0001,18.22,0,0.0
f,14,14,geschieden_lp,0.0,14,1,10,0.0001,18.22,0,0.0
f,14,14,ledig,365060.0,14,1,10,0.0001,18.22,0,0.004397295358605724
f,14,14,verheiratet,0.0,14,1,10,0.0001,18.22,1,0.0
f,14,14,verheiratet_lp,0.0,14,1,10,0.0001,18.22,0,0.0
f,14,14,verwitwet,1.0,14,1,10,0.0001,18.22,0,1.2045404477635797e-08
f,14,14,verwitwet_lp,0.0,14,1,10,0.0001,18.22,0,0.0
f,15,15,geschieden,1.0,15,1,15,0.0001,17.58,0,1.2045404477635797e-08
f,15,15,geschieden_lp,1.0,15,1,15,0.0001,17.58,0,1.2045404477635797e-08
f,15,15,ledig,364908.0,15,1,15,0.0001,17.58,0,0.004395464457125123
f,15,15,verheiratet,3.0,15,1,15,0.0001,17.58,1,3.6136213432907394e-08
f,15,15,verheiratet_lp,0.0,15,1,15,0.0001,17.58,0,0.0
f,15,15,verwitwet,0.0,15,1,15,0.0001,17.58,0,0.0
f,15,15,verwitwet_lp,0.0,15,1,15,0.0001,17.58,0,0.0
f,16,16,geschieden,1.0,16,1,15,0.0001,17.58,0,1.2045404477635797e-08
f,16,16,geschieden_lp,1.0,16,1,15,0.0001,17.58,0,1.2045404477635797e-08
f,16,16,ledig,370561.0,16,1,15,0.0001,17.58,0,0.004463557128637199
f,16,16,verheiratet,20.0,16,1,15,0.0001,17.58,1,2.4090808955271595e-07
f,16,16,verheiratet_lp,0.0,16,1,15,0.0001,17.58,0,0.0
f,16,16,verwitwet,0.0,16,1,15,0.0001,17.58,0,0.0
f,16,16,verwitwet_lp,0.0,16,1,15,0.0001,17.58,0,0.0
f,17,17,geschieden,6.0,17,1,15,0.0001,17.58,0,7.227242686581479e-08
f,17,17,geschieden_lp,1.0,17,1,15,0.0001,17.58,0,1.2045404477635797e-08
f,17,17,ledig,378748.0,17,1,15,0.0001,17.58,0,0.004562172855095603
f,17,17,verheiratet,120.0,17,1,15,0.0001,17.58,1,1.4454485373162956e-06
f,17,17,verheiratet_lp,1.0,17,1,15,0.0001,17.58,0,1.2045404477635797e-08
f,17,17,verwitwet,0.0,17,1,15,0.0001,17.58,0,0.0
f,17,17,verwitwet_lp,0.0,17,1,15,0.0001,17.58,0,0.0
f,18,18,geschieden,12.0,18,1,15,0.0002,17.58,0,1.4454485373162958e-07
f,18,18,geschieden_lp,1.0,18,1,15,0.0002,17.58,0,1.2045404477635797e-08
f,18,18,ledig,398606.0,18,1,15,0.0002,17.58,0,0.004801370497212494
f,18,18,verheiratet,1214.0,18,1,15,0.0002,17.58,1,1.4623121035849858e-05
f,18,18,verheiratet_lp,0.0,18,1,15,0.0002,17.58,0,0.0
f,18,18,verwitwet,1.0,18,1,15,0.0002,17.58,0,1.2045404477635797e-08
f,18,18,verwitwet_lp,0.0,18,1,15,0.0002,17.58,0,0.0
f,19,19,geschieden,30.0,19,1,15,0.0002,17.58,0,3.613621343290739e-07
f,19,19,geschieden_lp,0.0,19,1,15,0.0002,17.58,0,0.0
f,19,19,ledig,402731.0,19,1,15,0.0002,17.58,0,0.004851057790682742
f,19,19,verheiratet,3801.0,19,1,15,0.0002,17.58,1,4.578458241949366e-05
f,19,19,verheiratet_lp,4.0,19,1,15,0.0002,17.58,0,4.818161791054319e-08
f,19,19,verwitwet,6.0,19,1,15,0.0002,17.58,0,7.227242686581479e-08
f,19,19,verwitwet_lp,0.0,19,1,15,0.0002,17.58,0,0.0
f,20,20,geschieden,122.0,20,1,20,0.0002,13.57,0,1.4695393462715673e-06
f,20,20,geschieden_lp,4.0,20,1,20,0.0002,13.57,0,4.818161791054319e-08
f,20,20,ledig,415856.0,20,1,20,0.0002,13.57,0,0.005009153724451712
f,20,20,verheiratet,7685.0,20,1,20,0.0002,13.57,1,9.256893341063111e-05
f,20,20,verheiratet_lp,11.0,20,1,20,0.0002,13.57,0,1.3249944925399378e-07
f,20,20,verwitwet,14.0,20,1,20,0.0002,13.57,0,1.6863566268690115e-07
f,20,20,verwitwet_lp,0.0,20,1,20,0.0002,13.57,0,0.0
f,21,21,geschieden,321.0,21,1,20,0.0002,13.57,0,3.866574837321091e-06
f,21,21,geschieden_lp,6.0,21,1,20,0.0002,13.57,0,7.227242686581479e-08
f,21,21,ledig,429013.0,21,1,20,0.0002,13.57,0,0.005167635111163966
f,21,21,verheiratet,14071.0,21,1,20,0.0002,13.57,1,0.0001694908864048133
f,21,21,verheiratet_lp,25.0,21,1,20,0.0002,13.57,0,3.0113511194089495e-07
f,21,21,verwitwet,20.0,21,1,20,0.0002,13.57,0,2.4090808955271595e-07
f,21,21,verwitwet_lp,5.0,21,1,20,0.0002,13.57,0,6.022702238817899e-08
f,22,22,geschieden,628.0,22,1,20,0.0002,13.57,0,7.564514011955281e-06
f,22,22,geschieden_lp,10.0,22,1,20,0.0002,13.57,0,1.2045404477635798e-07
f,22,22,ledig,419890.0,22,1,20,0.0002,13.57,0,0.005057744886114495
f,22,22,verheiratet,21862.0,22,1,20,0.0002,13.57,1,0.0002633366326900738
f,22,22,verheiratet_lp,50.0,22,1,20,0.0002,13.57,0,6.022702238817899e-07
f,22,22,verwitwet,36.0,22,1,20,0.0002,13.57,0,4.336345611948887e-07
f,22,22,verwitwet_lp,1.0,22,1,20,0.0002,13.57,0,1.2045404477635797e-08
f,23,23,geschieden,1146.0,23,1,20,0.0002,13.57,0,1.3804033531370624e-05
f,23,23,geschieden_lp,26.0,23,1,20,0.0002,13.57,0,3.1318051641853075e-07
f,23,23,ledig,403369.0,23,1,20,0.0002,13.57,0,0.004858742758739474
f,23,23,verheiratet,31886.0,23,1,20,0.0002,13.57,1,0.00038407976717389506
f,23,23,verheiratet_lp,78.0,23,1,20,0.0002,13.57,0,9.395415492555922e-07
f,23,23,verwitwet,50.0,23,1,20,0.0002,13.57,0,6.022702238817899e-07
f,23,23,verwitwet_lp,3.0,23,1,20,0.0002,13.57,0,3.6136213432907394e-08
f,24,24,geschieden,1850.0,24,1,20,0.0002,13.57,0,2.2283998283626224e-05
f,24,24,geschieden_lp,40.0,24,1,20,0.0002,13.57,0,4.818161791054319e-07
f,24,24,ledig,398173.0,24,1,20,0.0002,13.57,0,0.004796154837073678
f,24,24,verheiratet,45792.0,24,1,20,0.0002,13.57,1,0.0005515831618398984
f,24,24,verheiratet_lp,137.0,24,1,20,0.0002,13.57,0,1.6502204134361042e-06
f,24,24,verwitwet,77.0,24,1,20,0.0002,13.57,0,9.274961447779564e-07
f,24,24,verwitwet_lp,3.0,24,1,20,0.0002,13.57,0,3.6136213432907394e-08
f,25,25,geschieden,2971.0,25,1,20,0.0002,13.57,0,3.578689670305595e-05
f,25,25,geschieden_lp,66.0,25,1,20,0.0002,13.57,0,7.949966955239626e-07
f,25,25,ledig,396473.0,25,1,20,0.0002,13.57,0,0.004775677649461698
f,25,25,verheiratet,63316.0,25,1,20,0.0002,13.57,1,0.0007626668299059882
f,25,25,verheiratet_lp,189.0,25,1,20,0.0002,13.57,0,2.2765814462731658e-06
f,25,25,verwitwet,115.0,25,1,20,0.0002,13.57,0,1.3852215149281167e-06
f,25,25,verwitwet_lp,2.0,25,1,20,0.0002,13.57,0,2.4090808955271594e-08
f,26,26,geschieden,4439.0,26,1,20,0.0002,13.57,0,5.3469550476225305e-05
f,26,26,geschieden_lp,99.0,26,1,20,0.0002,13.57,0,1.1924950432859439e-06
f,26,26,ledig,381866.0,26,1,20,0.0002,13.57,0,0.004599730426256872
f,26,26,verheiratet,86648.0,26,1,20,0.0002,13.57,1,0.0010437102071781865
f,26,26,verheiratet_lp,277.0,26,1,20,0.0002,13.57,0,3.3365770403051158e-06
f,26,26,verwitwet,143.0,26,1,20,0.0002,13.57,0,1.722492840301919e-06
f,26,26,verwitwet_lp,0.0,26,1,20,0.0002,13.57,0,0.0
f,27,27,geschieden,6230.0,27,1,20,0.0002,13.57,0,7.504286989567102e-05
f,27,27,geschieden_lp,132.0,27,1,20,0.0002,13.57,0,1.5899933910479252e-06
f,27,27,ledig,371560.0,27,1,20,0.0002,13.57,0,0.004475590487710357
f,27,27,verheiratet,113375.0,27,1,20,0.0002,13.57,1,0.0013656477326519586
f,27,27,verheiratet_lp,388.0,27,1,20,0.0002,13.57,0,4.6736169373226894e-06
f,27,27,verwitwet,216.0,27,1,20,0.0002,13.57,0,2.6018073671693324e-06
f,27,27,verwitwet_lp,2.0,27,1,20,0.0002,13.57,0,2.4090808955271594e-08
f,28,28,geschieden,8875.0,28,1,20,0.0002,13.57,0,0.0001069029647390177
f,28,28,geschieden_lp,173.0,28,1,20,0.0002,13.57,0,2.083854974630993e-06
f,28,28,ledig,376563.0,28,1,20,0.0002,13.57,0,0.004535853646311969
f,28,28,verheiratet,150042.0,28,1,20,0.0002,13.57,1,0.0018073165786334302
f,28,28,verheiratet_lp,535.0,28,1,20,0.0002,13.57,0,6.444291395535152e-06
f,28,28,verwitwet,290.0,28,1,20,0.0002,13.57,0,3.493167298514381e-06
f,28,28,verwitwet_lp,3.0,28,1,20,0.0002,13.57,0,3.6136213432907394e-08
f,29,29,geschieden,11381.0,29,1,20,0.0003,13.57,0,0.000137088748359973
f,29,29,geschieden_lp,210.0,29,1,20,0.0003,13.57,0,2.5295349403035175e-06
f,29,29,ledig,344150.0,29,1,20,0.0003,13.57,0,0.00414542595097836
f,29,29,verheiratet,175510.0,29,1,20,0.0003,13.57,1,0.0021140889398698587
f,29,29,verheiratet_lp,694.0,29,1,20,0.0003,13.57,0,8.359510707479244e-06
f,29,29,verwitwet,462.0,29,1,20,0.0003,13.57,0,5.5649768686677385e-06
f,29,29,verwitwet_lp,4.0,29,1,20,0.0003,13.57,0,4.818161791054319e-08
f,30,30,geschieden,14685.0,30,1,30,0.0003,14.14,0,0.0001768867647540817
f,30,30,geschieden_lp,272.0,30,1,30,0.0003,14.14,0,3.276350017916937e-06
f,30,30,ledig,319566.0,30,1,30,0.0003,14.14,0,0.0038493017273001614
f,30,30,verheiratet,207601.0,30,1,30,0.0003,14.14,1,0.002500638014961669
f,30,30,verheiratet_lp,778.0,30,1,30,0.0003,14.14,0,9.37132468360065e-06
f,30,30,verwitwet,489.0,30,1,30,0.0003,14.14,0,5.890202789563905e-06
f,30,30,verwitwet_lp,0.0,30,1,30,0.0003,14.14,0,0.0
f,31,31,geschieden,17543.0,31,1,30,0.0003,14.14,0,0.0002113125307511648
f,31,31,geschieden_lp,268.0,31,1,30,0.0003,14.14,0,3.228168400006394e-06
f,31,31,ledig,286800.0,31,1,30,0.0003,14.14,0,0.003454622004185947
f,31,31,verheiratet,227271.0,31,1,30,0.0003,14.14,1,0.0027375711210367655
f,31,31,verheiratet_lp,846.0,31,1,30,0.0003,14.14,0,1.0190412188079884e-05
f,31,31,verwitwet,642.0,31,1,30,0.0003,14.14,0,7.733149674642182e-06
f,31,31,verwitwet_lp,6.0,31,1,30,0.0003,14.14,0,7.227242686581479e-08
f,32,32,geschieden,20487.0,32,1,30,0.0003,14.14,0,0.0002467742015333246
f,32,32,geschieden_lp,336.0,32,1,30,0.0003,14.14,0,4.047255904485628e-06
f,32,32,ledig,260053.0,32,1,30,0.0003,14.14,0,0.003132443570622622
f,32,32,verheiratet,244150.0,32,1,30,0.0003,14.14,1,0.00294088550321478
f,32,32,verheiratet_lp,909.0,32,1,30,0.0003,14.14,0,1.094927267017094e-05
f,32,32,verwitwet,767.0,32,1,30,0.0003,14.14,0,9.238825234346656e-06
f,32,32,verwitwet_lp,4.0,32,1,30,0.0003,14.14,0,4.818161791054319e-08
f,33,33,geschieden,23531.0,33,1,30,0.0004,14.14,0,0.00028344041276324793
f,33,33,geschieden_lp,331.0,33,1,30,0.0004,14.14,0,3.987028882097449e-06
f,33,33,ledig,232151.0,33,1,30,0.0004,14.14,0,0.002796352694887628
f,33,33,verheiratet,253992.0,33,1,30,0.0004,14.14,1,0.0030594363740836716
f,33,33,verheiratet_lp,906.0,33,1,30,0.0004,14.14,0,1.0913136456738033e-05
f,33,33,verwitwet,933.0,33,1,30,0.0004,14.14,0,1.1238362377634198e-05
f,33,33,verwitwet_lp,5.0,33,1,30,0.0004,14.14,0,6.022702238817899e-08
f,34,34,geschieden,27052.0,34,1,30,0.0004,14.14,0,0.0003258522819290036
f,34,34,geschieden_lp,325.0,34,1,30,0.0004,14.14,0,3.914756455231634e-06
f,34,34,ledig,213533.0,34,1,30,0.0004,14.14,0,0.002572091354323005
f,34,34,verheiratet,266603.0,34,1,30,0.0004,14.14,1,0.0032113409699511364
f,34,34,verheiratet_lp,1000.0,34,1,30,0.0004,14.14,0,1.2045404477635798e-05
f,34,34,verwitwet,1111.0,34,1,30,0.0004,14.14,0,1.338244437465337e-05
f,34,34,verwitwet_lp,2.0,34,1,30,0.0004,14.14,0,2.4090808955271594e-08
f,35,35,geschieden,31206.0,35,1,30,0.0004,14.14,0,0.0003758888921291027
f,35,35,geschieden_lp,343.0,35,1,30,0.0004,14.14,0,4.131573735829079e-06
f,35,35,ledig,199125.0,35,1,30,0.0004,14.14,0,0.0023985411666092283
f,35,35,verheiratet,279281.0,35,1,30,0.0004,14.14,1,0.0033640526079186032
f,35,35,verheiratet_lp,1059.0,35,1,30,0.0004,14.14,0,1.2756083341816309e-05
f,35,35,verwitwet,1371.0,35,1,30,0.0004,14.14,0,1.6514249538838677e-05
f,35,35,verwitwet_lp,5.0,35,1,30,0.0004,14.14,0,6.022702238817899e-08
f,36,36,geschieden,35868.0,36,1,30,0.0005,14.14,0,0.00043204456780384076
f,36,36,geschieden_lp,384.0,36,1,30,0.0005,14.14,0,4.6254353194121464e-06
f,36,36,ledig,187330.0,36,1,30,0.0005,14.14,0,0.002256465620795514
f,36,36,verheiratet,297376.0,36,1,30,0.0005,14.14,1,0.003582014201941423
f,36,36,verheiratet_lp,1103.0,36,1,30,0.0005,14.14,0,1.3286081138832284e-05
f,36,36,verwitwet,1555.0,36,1,30,0.0005,14.14,0,1.8730603962723666e-05
f,36,36,verwitwet_lp,6.0,36,1,30,0.0005,14.14,0,7.227242686581479e-08
f,37,37,geschieden,39994.0,37,1,30,0.0005,14.14,0,0.0004817439066785661
f,37,37,geschieden_lp,384.0,37,1,30,0.0005,14.14,0,4.6254353194121464e-06
f,37,37,ledig,173032.0,37,1,30,0.0005,14.14,0,0.0020842404275742774
f,37,37,verheiratet,305760.0,37,1,30,0.0005,14.14,1,0.0036830028730819213
f,37,37,verheiratet_lp,1180.0,37,1,30,0.0005,14.14,0,1.421357728361024e-05
f,37,37,verwitwet,1997.0,37,1,30,0.0005,14.14,0,2.4054672741838688e-05
f,37,37,verwitwet_lp,6.0,37,1,30,0.0005,14.14,0,7.227242686581479e-08
f,38,38,geschieden,44012.0,38,1,30,0.0006,14.14,0,0.0005301423418697067
f,38,38,geschieden_lp,395.0,38,1,30,0.0006,14.14,0,4.75793476866614e-06
f,38,38,ledig,162699.0,38,1,30,0.0006,14.14,0,0.0019597752631068666
f,38,38,verheiratet,314730.0,38,1,30,0.0006,14.14,1,0.0037910501512463143
f,38,38,verheiratet_lp,1289.0,38,1,30,0.0006,14.14,0,1.5526526371672544e-05
f,38,38,verwitwet,2195.0,38,1,30,0.0006,14.14,0,2.6439662828410575e-05
f,38,38,verwitwet_lp,9.0,38,1,30,0.0006,14.14,0,1.0840864029872218e-07
f,39,39,geschieden,46374.0,39,1,30,0.0006,14.14,0,0.0005585935872458825
f,39,39,geschieden_lp,392.0,39,1,30,0.0006,14.14,0,4.721798555233232e-06
f,39,39,ledig,143519.0,39,1,30,0.0006,14.14,0,0.001728744405225812
f,39,39,verheiratet,306285.0,39,1,30,0.0006,14.14,1,0.0036893267104326803
f,39,39,verheiratet_lp,1237.0,39,1,30,0.0006,14.14,0,1.490016533883548e-05
f,39,39,verwitwet,2592.0,39,1,30,0.0006,14.14,0,3.1221688406031986e-05
f,39,39,verwitwet_lp,6.0,39,1,30,0.0006,14.14,0,7.227242686581479e-08
f,40,40,geschieden,49030.0,40,1,40,0.0007,13.83,0,0.0005905861815384832
f,40,40,geschieden_lp,413.0,40,1,40,0.0007,13.83,0,4.974752049263584e-06
f,40,40,ledig,133485.0,40,1,40,0.0007,13.83,0,0.0016078808166972143
f,40,40,verheiratet,306051.0,40,1,40,0.0007,13.83,1,0.0036865080857849133
f,40,40,verheiratet_lp,1250.0,40,1,40,0.0007,13.83,0,1.5056755597044747e-05
f,40,40,verwitwet,2987.0,40,1,40,0.0007,13.83,0,3.5979623174698126e-05
f,40,40,verwitwet_lp,7.0,40,1,40,0.0007,13.83,0,8.431783134345058e-08
f,41,41,geschieden,52475.0,41,1,40,0.0008,13.83,0,0.0006320825999639385
f,41,41,geschieden_lp,352.0,41,1,40,0.0008,13.83,0,4.239982376127801e-06
f,41,41,ledig,125218.0,41,1,40,0.0008,13.83,0,0.0015083014578805992
f,41,41,verheiratet,305464.0,41,1,40,0.0008,13.83,1,0.003679437433356541
f,41,41,verheiratet_lp,1232.0,41,1,40,0.0008,13.83,0,1.4839938316447302e-05
f,41,41,verwitwet,3483.0,41,1,40,0.0008,13.83,0,4.195414379560548e-05
f,41,41,verwitwet_lp,8.0,41,1,40,0.0008,13.83,0,9.636323582108638e-08
f,42,42,geschieden,55634.0,42,1,40,0.0008,13.83,0,0.00067013403270879
f,42,42,geschieden_lp,351.0,42,1,40,0.0008,13.83,0,4.227936971650165e-06
f,42,42,ledig,115121.0,42,1,40,0.0008,13.83,0,0.0013866790088699107
f,42,42,verheiratet,304235.0,42,1,40,0.0008,13.83,1,0.003664633631253527
f,42,42,verheiratet_lp,1104.0,42,1,40,0.0008,13.83,0,1.3298126543309921e-05
f,42,42,verwitwet,3862.0,42,1,40,0.0008,13.83,0,4.651935209262945e-05
f,42,42,verwitwet_lp,11.0,42,1,40,0.0008,13.83,0,1.3249944925399378e-07
f,43,43,geschieden,57179.0,43,1,40,0.0009,13.83,0,0.0006887441826267372
f,43,43,geschieden_lp,319.0,43,1,40,0.0009,13.83,0,3.842484028365819e-06
f,43,43,ledig,105007.0,43,1,40,0.0009,13.83,0,0.0012648517879831022
f,43,43,verheiratet,298770.0,43,1,40,0.0009,13.83,1,0.003598805495783247
f,43,43,verheiratet_lp,1026.0,43,1,40,0.0009,13.83,0,1.2358584994054328e-05
f,43,43,verwitwet,4422.0,43,1,40,0.0009,13.83,0,5.3264778600105494e-05
f,43,43,verwitwet_lp,12.0,43,1,40,0.0009,13.83,0,1.4454485373162958e-07
f,44,44,geschieden,61883.0,44,1,40,0.001,13.83,0,0.000745405765289536
f,44,44,geschieden_lp,303.0,44,1,40,0.001,13.83,0,3.6497575567236465e-06
f,44,44,ledig,101033.0,44,1,40,0.001,13.83,0,0.0012169833505889776
f,44,44,verheiratet,304945.0,44,1,40,0.001,13.83,1,0.003673185868432648
f,44,44,verheiratet_lp,1116.0,44,1,40,0.001,13.83,0,1.3442671397041549e-05
f,44,44,verwitwet,4985.0,44,1,40,0.001,13.83,0,6.004634132101445e-05
f,44,44,verwitwet_lp,7.0,44,1,40,0.001,13.83,0,8.431783134345058e-08
f,45,45,geschieden,65410.0,45,1,40,0.0011,13.83,0,0.0007878899068821575
f,45,45,geschieden_lp,253.0,45,1,40,0.0011,13.83,0,3.0474873328418566e-06
f,45,45,ledig,97162.0,45,1,40,0.0011,13.83,0,0.0011703555898560493
f,45,45,verheiratet,308781.0,45,1,40,0.0011,13.83,1,0.0037193920400088593
f,45,45,verheiratet_lp,946.0,45,1,40,0.0011,13.83,0,1.1394952635843465e-05
f,45,45,verwitwet,5759.0,45,1,40,0.0011,13.83,0,6.936948438670455e-05
f,45,45,verwitwet_lp,12.0,45,1,40,0.0011,13.83,0,1.4454485373162958e-07
f,46,46,geschieden,73236.0,46,1,40,0.0013,13.83,0,0.0008821572423241352
f,46,46,geschieden_lp,262.0,46,1,40,0.0013,13.83,0,3.155895973140579e-06
f,46,46,ledig,100053.0,46,1,40,0.0013,13.83,0,0.0012051788542008944
