nationality;gender;ledig;verheiratet;verwitwet;geschieden;verheiratet_lp;geschieden_lp;verwitwet_lp;age_from;age_to
German;f;326265;28927;35;1234;120;36;2;24;24
German;f;324078;43038;55;2058;165;59;-;25;25
German;f;311856;62024;73;3272;256;85;-;26;26
German;f;303024;84384;137;4625;348;119;1;27;27
German;f;309067;116248;175;6926;495;154;3;28;28
German;f;280338;137721;299;9037;631;193;2;29;29
German;f;261220;165997;327;11816;707;253;-;30;30
German;f;234307;182954;444;14242;783;239;4;31;31
German;f;213073;197981;557;16782;833;320;2;32;32
German;f;189207;204905;668;19266;843;301;4;33;33
German;f;174865;215897;808;22047;918;302;1;34;34
German;f;164092;226613;1008;25620;963;319;3;35;35
German;f;155114;241594;1146;29451;1024;348;6;36;36
German;f;144181;247731;1527;32734;1105;352;5;37;37
German;f;134850;254558;1676;36083;1197;356;8;38;38
German;f;119330;246504;1932;37829;1149;366;6;39;39
German;f;111162;246580;2298;40142;1154;382;7;40;40
German;f;104360;246327;2632;42867;1163;317;8;41;41
German;f;95813;245095;2980;45222;1014;328;10;42;42
German;f;86721;239986;3359;46129;958;298;11;43;43
German;f;83822;245897;3780;50374;1039;280;5;44;44
German;f;81413;250388;4422;53775;861;234;10;45;45
German;f;85556;277491;5504;61573;914;241;15;46;46
German;f;92938;310872;6978;72233;1018;247;18;47;47
German;f;91835;325982;8225;78930;1045;283;26;48;48
German;f;94959;355227;10097;89508;1087;250;17;49;49
German;f;94257;377555;12049;97975;1130;294;25;50;50
German;f;92250;393990;14312;104683;1149;231;26;51;51
German;f;89311;408124;16780;109657;1169;245;29;52;52
German;f;82998;412206;19724;111282;1095;229;42;53;53
German;f;79686;424892;22919;114897;1099;222;34;54;54
German;f;73778;428009;26493;112909;1010;195;28;55;55
German;f;66153;417692;29344;109552;970;160;36;56;56
German;f;61349;417797;33736;106125;885;133;35;57;57
German;f;54983;403345;37661;99796;764;112;36;58;58
German;f;50212;395310;41171;95032;665;119;34;59;59
German;f;44716;374494;44053;85736;604;94;33;60;60
German;f;41425;365969;48113;81930;611;65;29;61;61
German;f;37786;353865;52068;77400;514;58;37;62;62
German;f;34216;341272;56424;72958;444;50;27;63;63
German;f;31905;333855;61303;70686;434;51;33;64;64
German;f;28699;322107;65193;66564;434;36;37;65;65
German;f;26607;315888;71682;64801;368;20;26;66;66
German;f;24332;306336;77262;62146;383;26;31;67;67
German;f;22230;297574;83941;59718;364;28;45;68;68
German;f;19770;282905;88619;54791;299;18;22;69;69
German;f;16850;250006;87467;48393;264;23;27;70;70
German;f;14665;230340;89314;43867;187;8;25;71;71
German;f;12003;194340;83257;37543;231;8;24;72;72
German;f;10884;165967;78948;32474;197;14;28;73;73
German;f;13726;221565;113267;41752;261;9;34;74;74
German;f;14257;217090;122437;41258;195;17;37;75;75
German;f;14025;200263;127373;37554;177;7;31;76;76
German;f;16620;234511;169011;43313;199;2;26;77;77
German;f;17426;228488;193397;42260;139;2;32;78;78
German;f;17210;209396;202620;38322;139;4;27;79;79
German;f;16039;174472;200057;32761;91;1;25;80;80
German;f;15141;145225;194571;28160;86;3;10;81;81
German;f;14405;122331;196203;24230;72;1;16;82;82
German;f;13805;100254;194323;20761;52;1;13;83;83
German;f;12435;76947;181203;17238;65;1;15;84;84
German;f;85570;212599;1134944;76413;187;4;113;85;100
Foreigner;m;53629;-;-;-;-;-;-;0;0
Foreigner;m;54223;-;-;-;-;-;-;1;1
Foreigner;m;55930;-;-;-;-;-;-;2;2
Foreigner;m;53863;-;-;-;-;-;-;3;3
Foreigner;m;51311;-;-;-;-;-;-;4;4
Foreigner;m;47144;-;-;-;-;-;-;5;5
Foreigner;m;46757;-;-;-;-;-;-;6;6
Foreigner;m;46564;-;-;-;-;-;-;7;7
Foreigner;m;44754;-;-;-;-;-;-;8;8
Foreigner;m;43311;-;-;-;-;-;-;9;9
Foreigner;m;43295;-;-;-;-;-;-;10;10
Foreigner;m;40602;-;-;-;-;-;-;11;11
Foreigner;m;39469;-;-;-;-;-;-;12;12
Foreigner;m;38224;-;-;-;-;-;-;13;13
Foreigner;m;38217;-;-;-;-;-;-;14;14
Foreigner;m;38574;-;-;-;-;-;-;15;15
Foreigner;m;40072;3;1;1;-;-;-;16;16
Foreigner;m;43790;4;-;1;-;-;1;17;17
Foreigner;m;55972;60;-;4;-;-;-;18;18
Foreigner;m;83683;269;-;8;2;1;-;19;19
Foreigner;m;89848;740;1;16;5;1;-;20;20
Foreigner;m;101129;1681;4;44;21;3;-;21;21
Foreigner;m;102355;3204;2;92;20;8;-;22;22
Foreigner;m;106277;5326;18;135;34;3;-;23;23
Foreigner;m;108377;7607;16;263;61;15;2;24;24
Foreigner;m;108246;10309;15;430;86;13;-;25;25
Foreigner;m;107032;13670;24;580;114;13;2;26;26
Foreigner;m;105318;17217;32;856;123;30;2;27;27
Foreigner;m;107710;21536;36;1124;170;36;3;28;28
Foreigner;m;101073;24823;51;1636;179;44;2;29;29
