"ITTER107","Territory","TIPO_DATO15","Demographic data type","SEXISTAT1","Gender","ETA1","Age","STATCIV2","Marital status","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","JAN","population on 1st January","1","males","Y17","17 years","99","total","2019","2019",297515,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y17","17 years","99","total","2019","2019",278257,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y17","17 years","99","total","2019","2019",575772,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y18","18 years","99","total","2019","2019",307687,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y18","18 years","99","total","2019","2019",283278,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y18","18 years","99","total","2019","2019",590965,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y19","19 years","99","total","2019","2019",308983,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y19","19 years","99","total","2019","2019",280274,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y19","19 years","99","total","2019","2019",589257,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y20","20 years","99","total","2019","2019",315863,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y20","20 years","99","total","2019","2019",281026,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y20","20 years","99","total","2019","2019",596889,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y21","21 years","99","total","2019","2019",313089,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y21","21 years","99","total","2019","2019",282209,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y21","21 years","99","total","2019","2019",595298,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y22","22 years","99","total","2019","2019",313272,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y22","22 years","99","total","2019","2019",284122,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y22","22 years","99","total","2019","2019",597394,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y23","23 years","99","total","2019","2019",311589,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y23","23 years","99","total","2019","2019",285082,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y23","23 years","99","total","2019","2019",596671,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y24","24 years","99","total","2019","2019",313208,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y24","24 years","99","total","2019","2019",290785,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y24","24 years","99","total","2019","2019",603993,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y25","25 years","99","total","2019","2019",317679,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y25","25 years","99","total","2019","2019",298606,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y25","25 years","99","total","2019","2019",616285,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y26","26 years","99","total","2019","2019",330699,"p","provisional data"
