Jahr;Kennung;Bezeichnung ;Alter;Alter_von;insgesamt;A00-B99 Bestimmte infektiöse und parasitäre Krankheiten;C00-D48 Neubildungen;D50-D90 Krankheiten des Blutes und der blutbildenden Organe;E00-E90 Endokrine, Ernährungs und Stoffwechselkrankheiten;F00-F99 Psychische Verhaltensstörungen;G00-G99 Krankheiten des Nervensystems;H00-H59 Krankheiten des Auges und der Augenanhangsgebilde;H60-H95 Krankheiten des Ohres und des Warzenfortsatzes;I00-I99 Krankheiten des Kreislaufsystems;J00-J99 Krankheiten des  Atmungssystems;K00-K93 Krankheiten des Verdauungssystems;L00-L99 Krankheiten der Haut und der Unterhaut;M00-M99 Krankheiten des Muskelskelettsystems und des Bindegewebes;N00-N99 Krankheiten des Urogenitalsystems;O00-O99 Schwangerschaft, Geburt und Wochenbett;P00-P96 Best. Zustände, d. i. Ursprung i. d. Perinatalperiode haben;Q00-Q99 Angeborene Fehlbildungen,Deform. u. Chromosomenanomalien;R00-R99 Sympt.u.abnorm.klin.u.Laborbef.,d.andernorts n.klassif. sind;S00-T98 Verletzungen,Vergiftungen u.best.and. Folgen äuß. Ursachen;U00-U99 Schlüsselnummern für besondere Zwecke;Z00-Z99 Fakt.,d.d.Gesund. beeinfl. u.z.Inansp.d.Gesundheitsw.füh.;Diagnose unbekannt
2017;95;Mittelfranken, Regierungsbezirk;50 bis unter 55 Jahre;50;26205;593;2886;124;754;2983;1177;463;265;2716;1153;3340;478;3580;1674;3;-;67;1361;2448;1;137;2
2017;95;Mittelfranken, Regierungsbezirk;55 bis unter 60 Jahre;55;29535;722;3600;121;759;2571;1198;750;285;4026;1485;3537;435;4124;1536;-;-;62;1444;2702;-;177;1
2017;95;Mittelfranken, Regierungsbezirk;60 bis unter 65 Jahre;60;29174;734;4367;152;698;1475;1121;841;245;4815;1623;3265;391;3911;1487;-;-;29;1298;2551;-;171;-
2017;95;Mittelfranken, Regierungsbezirk;65 bis unter 70 Jahre;65;31247;842;4675;176;747;973;1195;1116;238;5957;2034;3324;389;3775;1743;-;-;36;1335;2534;-;157;1
2017;95;Mittelfranken, Regierungsbezirk;70 bis unter 75 Jahre;70;31903;979;4654;218;812;709;1226;1329;211;6584;2256;3182;318;3580;1787;-;-;17;1351;2551;1;138;-
2017;95;Mittelfranken, Regierungsbezirk;75 bis unter 80 Jahre;75;46519;1582;5732;364;1297;1015;1862;1888;260;10275;3227;4458;454;4783;2584;-;-;17;2166;4354;1;199;1
2017;95;Mittelfranken, Regierungsbezirk;80 bis unter 85 Jahre;80;35997;1492;3528;349;1278;733;1333;1272;152;8482;2779;3536;332;2819;1984;-;-;11;1784;3995;-;138;-
2017;95;Mittelfranken, Regierungsbezirk;85 bis unter 90 Jahre;85;23511;1073;1570;235;1077;458;702;628;75;5614;2211;2386;285;1235;1283;-;-;3;1221;3375;-;80;-
2017;95;Mittelfranken, Regierungsbezirk;90 bis unter 95 Jahre;90;10540;517;575;129;605;208;259;178;25;2389;1109;995;123;412;553;-;-;1;511;1910;-;41;-
2017;95;Mittelfranken, Regierungsbezirk;95 Jahre und mehr;95;2427;116;83;26;140;33;33;29;3;571;292;244;34;78;126;-;-;-;117;490;-;12;-
2017;96;Unterfranken, Regierungsbezirk;unter 1 Jahr;0;15586;379;87;9;41;6;36;16;42;16;938;213;72;10;193;-;2778;520;295;716;-;9219;-
2017;96;Unterfranken, Regierungsbezirk;1 bis unter 5 Jahre;1;6591;893;174;44;66;80;183;62;114;31;1980;300;212;91;203;-;1;358;274;1396;-;128;1
2017;96;Unterfranken, Regierungsbezirk;5 bis unter 10 Jahre;5;3986;438;117;23;69;130;148;69;72;51;625;339;121;120;145;-;-;189;314;955;-;61;-
2017;96;Unterfranken, Regierungsbezirk;10 bis unter 15 Jahre;10;4822;308;109;26;125;553;182;38;32;122;285;571;124;271;157;4;-;105;619;1145;-;46;-
2017;96;Unterfranken, Regierungsbezirk;15 bis unter 20 Jahre;15;8770;462;189;25;133;1749;303;37;51;198;568;858;239;442;413;361;-;86;962;1654;-;39;1
2017;96;Unterfranken, Regierungsbezirk;20 bis unter 25 Jahre;20;9823;360;188;22;111;1439;419;47;60;179;628;956;277;511;516;1726;-;69;636;1623;-;55;1
2017;96;Unterfranken, Regierungsbezirk;25 bis unter 30 Jahre;25;13063;314;280;26;155;1260;439;68;71;250;547;1102;256;623;642;4935;-;73;568;1383;-;69;2
2017;96;Unterfranken, Regierungsbezirk;30 bis unter 35 Jahre;30;13804;273;407;33;128;1235;401;86;90;313;548;1099;229;697;742;5865;-;41;514;1026;-;76;1
2017;96;Unterfranken, Regierungsbezirk;35 bis unter 40 Jahre;35;11548;267;621;40;158;1212;422;88;111;492;452;1158;200;912;793;2936;-;21;583;1019;-;62;1
2017;96;Unterfranken, Regierungsbezirk;40 bis unter 45 Jahre;40;10210;259;845;35;188;1270;438;102;109;776;378;1281;228;1230;806;552;-;45;587;1025;-;56;-
2017;96;Unterfranken, Regierungsbezirk;45 bis unter 50 Jahre;45;14327;347;1490;62;341;1461;586;194;186;1425;564;1823;268;2120;1010;28;-;39;844;1423;-;112;4
2017;96;Unterfranken, Regierungsbezirk;50 bis unter 55 Jahre;50;20369;503;2331;63;422;1823;886;279;229;2586;802;2536;323;3082;1312;3;-;43;1001;2024;-;120;1
2017;96;Unterfranken, Regierungsbezirk;55 bis unter 60 Jahre;55;23018;544;2981;85;476;1585;849;388;210;3421;1062;2644;332;3652;1269;-;-;31;1097;2206;-;186;-
2017;96;Unterfranken, Regierungsbezirk;60 bis unter 65 Jahre;60;23693;615;3595;109;529;937;803;501;215;4289;1140;2627;322;3479;1316;-;-;25;980;2020;-;191;-
2017;96;Unterfranken, Regierungsbezirk;65 bis unter 70 Jahre;65;24948;669;4128;164;547;655;786;640;193;5213;1352;2549;235;3074;1387;-;-;18;931;2185;-;222;-
2017;96;Unterfranken, Regierungsbezirk;70 bis unter 75 Jahre;70;22438;678;3372;145;526;467;770;636;149;5180;1387;2115;179;2565;1218;-;-;18;949;1950;-;134;-
2017;96;Unterfranken, Regierungsbezirk;75 bis unter 80 Jahre;75;34721;1203;4533;272;955;762;1198;897;176;8464;1970;3289;285;3555;1799;-;-;14;1488;3646;-;214;1
2017;96;Unterfranken, Regierungsbezirk;80 bis unter 85 Jahre;80;27822;1190;2825;265;994;583;908;584;132;7159;1871;2704;253;2031;1430;-;-;2;1318;3399;-;174;-
2017;96;Unterfranken, Regierungsbezirk;85 bis unter 90 Jahre;85;17079;812;1196;201;731;356;521;254;46;4327;1342;1614;178;874;946;-;-;1;890;2675;-;115;-
2017;96;Unterfranken, Regierungsbezirk;90 bis unter 95 Jahre;90;7799;397;370;104;383;154;194;95;14;1940;740;710;88;275;441;-;-;2;388;1467;-;37;-
2017;96;Unterfranken, Regierungsbezirk;95 Jahre und mehr;95;1570;75;45;16;84;28;30;10;-;351;156;156;9;41;93;-;-;-;62;406;-;8;-
2017;97;Schwaben, Regierungsbezirk;unter 1 Jahr;0;22648;420;94;24;33;35;141;29;49;33;1056;256;89;14;262;-;3966;733;293;650;-;14471;-
2017;97;Schwaben, Regierungsbezirk;1 bis unter 5 Jahre;1;6434;895;284;58;119;77;242;48;113;29;1916;214;132;81;239;-;-;378;265;1280;-;61;3
2017;97;Schwaben, Regierungsbezirk;5 bis unter 10 Jahre;5;4289;397;173;105;134;160;267;82;91;34;653;270;102;145;129;-;-;169;256;1084;-;38;-
2017;97;Schwaben, Regierungsbezirk;10 bis unter 15 Jahre;10;5773;291;184;78;179;595;250;63;69;67;356;586;112;467;222;1;-;197;682;1337;-;37;-
2017;97;Schwaben, Regierungsbezirk;15 bis unter 20 Jahre;15;10922;449;311;64;175;2073;413;82;73;182;794;1040;304;671;473;373;-;169;1091;2112;-;73;-
2017;97;Schwaben, Regierungsbezirk;20 bis unter 25 Jahre;20;13082;467;221;53;150;1818;443;55;84;187;991;1238;372;750;717;2442;-;100;797;2054;-;143;-
2017;97;Schwaben, Regierungsbezirk;25 bis unter 30 Jahre;25;17415;398;355;30;190;1737;447;96;117;266;849;1324;340;941;854;6589;-;98;761;1828;-;195;-
2017;97;Schwaben, Regierungsbezirk;30 bis unter 35 Jahre;30;19510;322;490;45;200;1904;471;93;102;343;869;1475;289;1005;925;8606;-;67;655;1502;-;147;-
2017;97;Schwaben, Regierungsbezirk;35 bis unter 40 Jahre;35;16760;332;692;46;259;1951;531;110;145;532;759;1622;265;1422;1049;4608;-;52;761;1448;-;176;-
2017;97;Schwaben, Regierungsbezirk;40 bis unter 45 Jahre;40;14590;347;1079;45;347;1855;595;112;149;880;763;1861;221;1747;1187;908;-;56;832;1478;-;127;1
2017;97;Schwaben, Regierungsbezirk;45 bis unter 50 Jahre;45;19874;431;1856;85;539;2233;825;210;192;1738;850;2521;315;3135;1407;54;-;67;1077;2161;-;178;-
2017;97;Schwaben, Regierungsbezirk;50 bis unter 55 Jahre;50;26653;596;2867;113;655;2736;1061;364;285;2909;1196;3215;394;4503;1612;2;-;62;1174;2714;-;195;-
2017;97;Schwaben, Regierungsbezirk;55 bis unter 60 Jahre;55;29070;655;3679;107;725;2099;1112;459;258;3943;1406;3378;344;4998;1465;1;-;56;1254;2908;-;223;-
2017;97;Schwaben, Regierungsbezirk;60 bis unter 65 Jahre;60;28876;689;3944;160;777;1370;1021;578;216;4765;1540;3410;333;4433;1577;-;-;44;1167;2694;-;158;-
2017;97;Schwaben, Regierungsbezirk;65 bis unter 70 Jahre;65;31530;908;4683;193;910;947;1127;686;220;6263;1842;3332;267;4246;1737;-;-;30;1238;2735;-;166;-
2017;97;Schwaben, Regierungsbezirk;70 bis unter 75 Jahre;70;33038;1054;4695;172;1011;727;1187;749;243;7080;2131;3218;271;4158;1817;-;-;27;1415;2916;-;167;-
2017;97;Schwaben, Regierungsbezirk;75 bis unter 80 Jahre;75;46370;1715;5569;375;1535;830;1766;961;300;10913;2865;4454;408;5354;2461;-;-;37;2132;4505;-;189;1
2017;97;Schwaben, Regierungsbezirk;80 bis unter 85 Jahre;80;34958;1523;3346;314;1509;660;1286;655;174;8656;2476;3360;315;2912;1819;-;-;11;1657;4136;-;149;-
2017;97;Schwaben, Regierungsbezirk;85 bis unter 90 Jahre;85;23564;1197;1629;242;1247;409;748;339;95;5953;1849;2302;215;1331;1160;-;-;2;1130;3631;-;85;-
2017;97;Schwaben, Regierungsbezirk;90 bis unter 95 Jahre;90;10709;585;481;112;711;175;282;104;31;2585;957;916;108;443;581;-;-;-;506;2092;-;40;-
2017;97;Schwaben, Regierungsbezirk;95 Jahre und mehr;95;2463;136;87;28;163;31;49;21;4;549;262;226;28;44;138;-;-;-;104;588;-;5;-
2017;100;Saarland;unter 1 Jahr;0;10522;214;44;5;19;5;51;8;17;18;573;115;38;2;87;-;2454;312;205;312;-;6015;28
2017;100;Saarland;1 bis unter 5 Jahre;1;3595;407;104;19;40;96;123;35;47;12;1195;163;73;52;80;-;-;206;188;639;-;108;8
2017;100;Saarland;5 bis unter 10 Jahre;5;2938;203;104;25;86;267;184;38;68;39;482;214;66;68;82;-;-;135;242;585;-;50;-
2017;100;Saarland;10 bis unter 15 Jahre;10;3463;169;89;10;103;455;177;35;44;75;286;372;52;179;124;3;-;90;460;711;-;29;-
2017;100;Saarland;15 bis unter 20 Jahre;15;6454;225;123;27;100;1159;322;55;47;136;485;576;151;320;356;477;-;68;778;998;-;49;2
2017;100;Saarland;20 bis unter 25 Jahre;20;8419;304;135;21;79;1124;416;69;74;171;575;806;209;448;449;1693;-;43;731;1027;-;32;13
2017;100;Saarland;25 bis unter 30 Jahre;25;10112;252;168;19;111;1052;366;83;85;198;587;908;205;489;571;3351;-;43;607;916;-;62;39
2017;100;Saarland;30 bis unter 35 Jahre;30;10499;221;295;25;98;1174;354;80;93;296;495;899;158;566;580;3675;-;44;585;737;-;60;64
2017;100;Saarland;35 bis unter 40 Jahre;35;9438;227;455;38;156;1145;391;79;106;451;456;1043;160;681;672;1926;-;26;631;702;-;59;34
2017;100;Saarland;40 bis unter 45 Jahre;40;8390;221;649;35;169;1143;354;91;125;630;370;1087;121;939;669;407;-;27;616;675;-;47;15
2017;100;Saarland;45 bis unter 50 Jahre;45;12059;274;1225;59;272;1308;613;192;195;1310;474;1653;191;1472;927;17;-;32;785;996;-;56;8
2017;100;Saarland;50 bis unter 55 Jahre;50;17764;409;1933;79;389;1768;800;369;206;2430;684;2290;257;2347;1110;1;-;39;1083;1434;-;127;9
2017;100;Saarland;55 bis unter 60 Jahre;55;21059;466;2771;100;506;1604;943;471;294;3429;930;2565;261;2746;1076;-;-;25;1127;1610;-;125;10
2017;100;Saarland;60 bis unter 65 Jahre;60;22219;523;3358;138;541;1120;917;605;255;4421;1067;2495;202;2529;1213;-;-;30;1068;1595;-;138;4
2017;100;Saarland;65 bis unter 70 Jahre;65;23443;624;3757;143;551;837;992;751;223;4975;1350;2482;218;2404;1205;-;-;15;1105;1670;-;133;8
2017;100;Saarland;70 bis unter 75 Jahre;70;19742;596;2781;167;501;624;803;731;168;4492;1132;1935;180;2008;1066;-;-;13;1015;1432;-;93;5
2017;100;Saarland;75 bis unter 80 Jahre;75;31398;1061;3731;244;865;931;1368;1066;275;7662;1754;3131;249;2940;1601;-;-;10;1730;2641;-;138;1
2017;100;Saarland;80 bis unter 85 Jahre;80;27249;1071;2506;269;1059;826;1180;757;192;6762;1681;2747;218;1927;1301;-;-;4;1719;2891;-;136;3
2017;100;Saarland;85 bis unter 90 Jahre;85;16622;751;1079;195;794;611;600;394;82;4104;1132;1634;111;795;834;-;-;2;1159;2257;-;86;2
2017;100;Saarland;90 bis unter 95 Jahre;90;7270;351;352;100;399;268;242;106;27;1686;668;653;55;241;354;-;-;2;501;1227;-;37;1
2017;100;Saarland;95 Jahre und mehr;95;1461;83;48;22;98;43;39;12;-;345;143;120;9;31;62;-;-;-;101;298;-;7;-
2017;110;Berlin;unter 1 Jahr;0;47819;996;263;68;75;17;213;52;90;77;1955;389;201;25;496;-;9690;1360;637;951;-;30264;-
2017;110;Berlin;1 bis unter 5 Jahre;1;12298;1475;513;178;133;89;578;138;268;85;3346;654;449;224;359;-;1;807;648;2094;-;259;-
2017;110;Berlin;5 bis unter 10 Jahre;5;8351;530;339;117;183;312;549;189;179;123;957;902;283;327;300;-;-;462;530;1944;-;125;-
2017;110;Berlin;10 bis unter 15 Jahre;10;8998;348;273;83;240;1082;542;126;155;201;508;1071;218;696;313;13;-;309;742;1984;-;94;-
2017;110;Berlin;15 bis unter 20 Jahre;15;15031;525;412;105;281;2623;705;159;138;306;994;1744;625;809;714;1298;-;262;988;2204;-;139;-
2017;110;Berlin;20 bis unter 25 Jahre;20;21486;602;519;93;311;3233;777;183;157;334;1406;1980;816;846;1260;5259;-;164;785;2469;-;292;-
2017;110;Berlin;25 bis unter 30 Jahre;25;35784;726;1083;129;544;4062;1165;254;245;583;1912;3188;999;1325;2064;12536;-;225;1080;3169;-;495;-
2017;110;Berlin;30 bis unter 35 Jahre;30;43299;734;1582;141;713;5078;1258;343;318;933;1914;3721;984;1825;2337;16225;-;184;1157;3393;-;459;-
2017;110;Berlin;35 bis unter 40 Jahre;35;37101;616;1977;133;677;4656;1270;362;354;1254;1602;3722;851;2079;2222;10729;-;149;1095;3010;-;343;-
2017;110;Berlin;40 bis unter 45 Jahre;40;28408;580;2532;163;681;3951;1339;346;394;1667;1292;3692;675;2302;2138;2583;-;110;1083;2645;-;235;-
2017;110;Berlin;45 bis unter 50 Jahre;45;34846;725;4118;254;961;4646;1520;523;434;3258;1544;4814;702;3670;2488;183;-;101;1286;3354;-;265;-
2017;110;Berlin;50 bis unter 55 Jahre;50;48738;998;6598;246;1302;5106;2188;871;542;6186;2226;6547;959;5645;2877;28;-;146;1651;4321;-;301;-
2017;110;Berlin;55 bis unter 60 Jahre;55;51681;1084;7713;252;1353;3961;2244;1131;524;8164;2728;6396;803;6047;2767;3;-;104;1610;4495;-;302;-
2017;110;Berlin;60 bis unter 65 Jahre;60;52775;1193;9129;315;1268;2663;2140;1362;497;10139;3141;5914;678;5566;2684;-;-;68;1484;4268;-;266;-
2017;110;Berlin;65 bis unter 70 Jahre;65;60223;1423;10872;336;1556;1902;2221;1954;485;12806;3898;6435;668;5676;3240;-;-;67;1543;4794;-;347;-
2017;110;Berlin;70 bis unter 75 Jahre;70;68011;1736;11373;521;1717;1714;2655;2415;451;15606;4554;6480;661;6566;3482;-;-;44;1974;5693;-;369;-
2017;110;Berlin;75 bis unter 80 Jahre;75;91013;2552;13348;800;2398;2075;3737;3502;502;21757;6193;8065;884;8222;4953;-;-;40;2918;8611;-;456;-
2017;110;Berlin;80 bis unter 85 Jahre;80;66475;2303;7263;683;2295;1479;2552;2513;327;16479;4502;5891;681;5060;3768;-;-;25;2318;7972;-;364;-
2017;110;Berlin;85 bis unter 90 Jahre;85;38767;1541;3005;498;1612;911;1261;1186;152;9693;3031;3158;456;2153;2317;-;-;5;1454;6146;-;188;-
2017;110;Berlin;90 bis unter 95 Jahre;90;17173;817;866;247;810;394;419;378;42;4061;1576;1353;212;756;1137;-;-;-;622;3390;-;93;-
2017;110;Berlin;95 Jahre und mehr;95;4899;244;186;51;264;112;85;47;5;1093;549;362;78;134;309;-;-;1;183;1172;-;24;-
2017;120;Brandenburg;unter 1 Jahr;0;27943;970;154;37;75;29;288;53;66;41;1760;310;145;16;246;-;6482;1036;779;847;-;14609;-
2017;120;Brandenburg;1 bis unter 5 Jahre;1;12726;1865;293;76;132;165;385;110;294;36;4281;498;356;221;347;-;-;550;587;2315;-;215;-
2017;120;Brandenburg;5 bis unter 10 Jahre;5;9516;935;189;69;221;594;631;162;174;134;1338;769;253;333;314;-;-;413;648;2213;-;126;-
2017;120;Brandenburg;10 bis unter 15 Jahre;10;10780;692;259;60;376;1325;566;106;116;276;677;1204;249;698;386;17;-;286;1200;2201;-;86;-
2017;120;Brandenburg;15 bis unter 20 Jahre;15;14875;769;253;58;320;2681;687;131;81;440;854;1516;515;774;702;1050;-;225;1366;2365;-;88;-
2017;120;Brandenburg;20 bis unter 25 Jahre;20;11820;335;230;33;192;1832;411;57;84;209;608;994;474;421;610;3061;-;93;574;1487;-;115;-
2017;120;Brandenburg;25 bis unter 30 Jahre;25;21691;391;508;69;283;2383;642;120;128;391;828;1719;579;817;1022;8689;-;91;816;2012;-;203;-
2017;120;Brandenburg;30 bis unter 35 Jahre;30;25958;496;842;84;391;2779;867;185;186;647;1021;2104;619;1262;1449;9678;-;88;931;2103;-;226;-
2017;120;Brandenburg;35 bis unter 40 Jahre;35;23127;396;1389;116;471;2710;911;196;243;971;972;2536;505;1740;1453;5155;-;84;961;2069;-;249;-
2017;120;Brandenburg;40 bis unter 45 Jahre;40;18320;325;1560;138;499;2380;892;210;229;1276;757;2409;435;1990;1411;953;-;78;836;1768;-;174;-
2017;120;Brandenburg;45 bis unter 50 Jahre;45;28090;499;3365;157;798;3129;1271;406;360;2716;1098;3694;609;3642;1961;59;-;97;1227;2757;-;245;-
2017;120;Brandenburg;50 bis unter 55 Jahre;50;45782;887;6127;289;1281;4422;1882;634;528;5600;1952;5763;853;6304;2772;4;-;115;1872;4090;-;407;-
2017;120;Brandenburg;55 bis unter 60 Jahre;55;55016;1142;7949;302;1606;3940;2317;896;616;8358;2731;6533;864;7537;2998;-;-;85;2124;4544;-;474;-
2017;120;Brandenburg;60 bis unter 65 Jahre;60;58203;1246;9130;457;1590;2625;2115;1197;607;10997;3322;6345;822;7025;3230;-;-;65;2151;4803;-;476;-
2017;120;Brandenburg;65 bis unter 70 Jahre;65;54875;1245;9631;477;1640;1733;2172;1287;479;11672;3052;5543;627;5578;3174;-;-;47;1990;4100;-;428;-
2017;120;Brandenburg;70 bis unter 75 Jahre;70;52063;1412;7880;429;1352;1329;2244;1433;462;12119;3097;4856;517;5534;3015;-;-;37;1968;3987;-;392;-
2017;120;Brandenburg;75 bis unter 80 Jahre;75;86366;2543;11987;732;2669;2355;3633;2587;535;21182;5286;7600;889;8147;4730;-;-;45;3542;7302;-;602;-
2017;120;Brandenburg;80 bis unter 85 Jahre;80;66630;2347;6892;695;2656;1843;2520;1891;363;17131;4805;5750;741;4878;3745;-;-;18;2807;7075;-;473;-
2017;120;Brandenburg;85 bis unter 90 Jahre;85;38852;1639;2863;470;1871;1160;1205;930;167;10042;3187;3052;425;2079;2238;-;-;5;1750;5458;-;311;-
2017;120;Brandenburg;90 bis unter 95 Jahre;90;14440;669;706;162;800;436;383;216;40;3516;1381;1131;211;584;820;-;-;-;664;2622;-;99;-
2017;120;Brandenburg;95 Jahre und mehr;95;3166;139;102;36;198;79;67;42;6;735;348;253;27;92;198;-;-;-;128;698;-;18;-
2017;130;Mecklenburg-Vorpommern;unter 1 Jahr;0;17643;593;116;17;32;14;313;21;41;48;1200;257;61;8;163;-;3283;625;320;545;-;9986;-
2017;130;Mecklenburg-Vorpommern;1 bis unter 5 Jahre;1;8146;1267;240;62;91;91;317;39;215;31;2929;269;191;94;159;-;2;296;347;1397;-;107;2
2017;130;Mecklenburg-Vorpommern;5 bis unter 10 Jahre;5;6198;666;258;75;191;418;327;118;114;69;913;478;129;150;159;-;-;178;426;1435;-;94;-
2017;130;Mecklenburg-Vorpommern;10 bis unter 15 Jahre;10;6883;470;133;39;302;997;362;62;81;138;424;679;142;391;195;16;-;146;680;1548;-;78;-
2017;130;Mecklenburg-Vorpommern;15 bis unter 20 Jahre;15;9388;500;187;41;286;1781;442;53;50;221;577;859;282;413;381;779;-;122;879;1453;-;81;1
2017;130;Mecklenburg-Vorpommern;20 bis unter 25 Jahre;20;8055;273;132;20;125;1117;303;50;43;133;436;732;264;282;377;2245;-;47;471;958;-;46;1
2017;130;Mecklenburg-Vorpommern;25 bis unter 30 Jahre;25;15080;334;308;50;235;1439;498;84;98;250;636;1103;420;569;682;6261;-;65;636;1322;-;86;4
2017;130;Mecklenburg-Vorpommern;30 bis unter 35 Jahre;30;17306;309;476;46;258;2035;658;120;158;444;694;1448;428;835;850;6172;-;67;747;1465;1;94;1
2017;130;Mecklenburg-Vorpommern;35 bis unter 40 Jahre;35;14755;288;737;65;324;1992;649;127;147;632;684;1688;385;1002;813;3064;-;45;688;1308;-;112;5
2017;130;Mecklenburg-Vorpommern;40 bis unter 45 Jahre;40;11698;233;882;52;356;1616;668;165;157;812;516;1597;328;1129;824;542;-;32;628;1097;-;64;-
2017;130;Mecklenburg-Vorpommern;45 bis unter 50 Jahre;45;16930;411;1794;73;531;1952;1053;261;204;1692;695;2320;383;1774;1141;24;-;67;898;1516;-;139;2
2017;130;Mecklenburg-Vorpommern;50 bis unter 55 Jahre;50;28093;626;3333;128;945;2801;1655;482;338;3641;1158;3632;542;3321;1483;1;-;65;1312;2386;-;244;-
2017;130;Mecklenburg-Vorpommern;55 bis unter 60 Jahre;55;35819;810;4564;192;1285;2572;2139;654;383;5662;1818;4376;540;4163;1832;-;-;73;1595;2916;-;245;-
2017;130;Mecklenburg-Vorpommern;60 bis unter 65 Jahre;60;38604;915;5614;230;1438;1603;2160;821;369;7476;2187;4405;523;3969;1962;-;-;48;1598;3005;-;281;-
2017;130;Mecklenburg-Vorpommern;65 bis unter 70 Jahre;65;35050;977;5420;223;1217;947;1846;962;373;7423;2039;3741;453;3272;1998;-;-;25;1449;2443;-;242;-
2017;130;Mecklenburg-Vorpommern;70 bis unter 75 Jahre;70;30609;895;4518;256;980;692;1481;963;265;7180;1911;2947;314;2854;1593;-;-;12;1385;2149;-;214;-
2017;130;Mecklenburg-Vorpommern;75 bis unter 80 Jahre;75;51230;1792;6373;421;1827;1157;2431;1512;374;12965;3389;4816;511;4294;2770;-;-;22;2374;3797;2;403;-
2017;130;Mecklenburg-Vorpommern;80 bis unter 85 Jahre;80;40379;1704;3979;477;1802;941;1598;915;219;10865;2970;3729;405;2669;2125;-;-;7;2004;3600;-;370;-
2017;130;Mecklenburg-Vorpommern;85 bis unter 90 Jahre;85;23114;1068;1699;296;1259;561;709;433;97;6280;2041;2026;245;1058;1187;-;-;3;1110;2873;-;169;-
2017;130;Mecklenburg-Vorpommern;90 bis unter 95 Jahre;90;8050;403;338;102;492;217;217;108;24;2042;753;718;80;265;438;-;-;2;365;1407;-;79;-
2017;130;Mecklenburg-Vorpommern;95 Jahre und mehr;95;1708;91;66;17;119;46;27;16;6;384;182;144;23;38;100;-;-;-;67;361;-;21;-
2017;141;Chemnitz, Regierungsbezirk;unter 1 Jahr;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;141;Chemnitz, Regierungsbezirk;1 bis unter 5 Jahre;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;141;Chemnitz, Regierungsbezirk;5 bis unter 10 Jahre;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;141;Chemnitz, Regierungsbezirk;10 bis unter 15 Jahre;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;141;Chemnitz, Regierungsbezirk;15 bis unter 20 Jahre;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;141;Chemnitz, Regierungsbezirk;20 bis unter 25 Jahre;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;141;Chemnitz, Regierungsbezirk;25 bis unter 30 Jahre;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;141;Chemnitz, Regierungsbezirk;30 bis unter 35 Jahre;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;141;Chemnitz, Regierungsbezirk;35 bis unter 40 Jahre;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;141;Chemnitz, Regierungsbezirk;40 bis unter 45 Jahre;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;141;Chemnitz, Regierungsbezirk;45 bis unter 50 Jahre;45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;141;Chemnitz, Regierungsbezirk;50 bis unter 55 Jahre;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;141;Chemnitz, Regierungsbezirk;55 bis unter 60 Jahre;55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;141;Chemnitz, Regierungsbezirk;60 bis unter 65 Jahre;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;141;Chemnitz, Regierungsbezirk;65 bis unter 70 Jahre;65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;141;Chemnitz, Regierungsbezirk;70 bis unter 75 Jahre;70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;141;Chemnitz, Regierungsbezirk;75 bis unter 80 Jahre;75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;141;Chemnitz, Regierungsbezirk;80 bis unter 85 Jahre;80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;141;Chemnitz, Regierungsbezirk;85 bis unter 90 Jahre;85;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2017;141;Chemnitz, Regierungsbezirk;90 bis unter 95 Jahre;90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
